MANDT,BESSION,GJAHR,LIFNR,BUKRS,BLDAT,BUDAT,WAERS,RMWWR
100,0070000000,2023,0000000105,1000,20241205,20220808,EUR,45848.81
100,0070000001,2024,0000000060,2000,20221018,20241007,EUR,31838.69
100,0070000002,2023,0000000089,1000,20230108,20240730,EUR,41024.87
100,0070000003,2024,0000000051,2000,20220102,20241109,EUR,14521.97
100,0070000004,2023,0000000130,1000,20230604,20220310,EUR,33132.29
100,0070000005,2024,0000000088,2000,20230415,20230210,EUR,11362.44
100,0070000006,2023,0000000037,1000,20230630,20231122,EUR,14507.07
100,0070000007,2024,0000000117,2000,20231215,20240407,EUR,42206.94
100,0070000008,2023,0000000168,1000,20221114,20231225,EUR,43824.78
100,0070000009,2024,0000000192,2000,20241120,20240502,EUR,44795.38
100,0070000010,2023,0000000041,1000,20221123,20221111,EUR,44332.87
100,0070000011,2024,0000000127,2000,20240226,20230826,EUR,1599.18
100,0070000012,2023,0000000191,1000,20220903,20240411,EUR,6831.31
100,0070000013,2024,0000000056,2000,20220227,20220209,EUR,21466.21
100,0070000014,2023,0000000190,1000,20230816,20231123,EUR,14254.4
100,0070000015,2024,0000000007,2000,20220506,20221005,EUR,44297.24
100,0070000016,2023,0000000119,1000,20230120,20231001,EUR,37846.54
100,0070000017,2024,0000000075,2000,20220904,20240227,EUR,19352.63
100,0070000018,2023,0000000191,1000,20240906,20220411,EUR,24899.64
100,0070000019,2024,0000000059,2000,20221007,20221106,EUR,44737.84
100,0070000020,2023,0000000178,1000,20231125,20240906,EUR,603.13
100,0070000021,2024,0000000013,2000,20230413,20220402,EUR,47677.01
100,0070000022,2023,0000000196,1000,20230615,20240801,EUR,4767.4
100,0070000023,2024,0000000083,2000,20240201,20231006,EUR,22860.49
100,0070000024,2023,0000000060,1000,20230408,20220904,EUR,30912.47
100,0070000025,2024,0000000057,2000,20231007,20240703,EUR,20952.64
100,0070000026,2023,0000000086,1000,20220113,20220301,EUR,6250.21
100,0070000027,2024,0000000165,2000,20220224,20220313,EUR,21844.18
100,0070000028,2023,0000000179,1000,20231013,20230528,EUR,2837.46
100,0070000029,2024,0000000041,2000,20241115,20230605,EUR,29818.98
100,0070000030,2023,0000000109,1000,20241202,20221011,EUR,18144.29
100,0070000031,2024,0000000062,2000,20240228,20221111,EUR,22498.19
100,0070000032,2023,0000000019,1000,20221214,20220123,EUR,846.48
100,0070000033,2024,0000000165,2000,20231005,20241201,EUR,2793.77
100,0070000034,2023,0000000144,1000,20231126,20240706,EUR,40716.19
100,0070000035,2024,0000000079,2000,20240104,20220512,EUR,9837.06
100,0070000036,2023,0000000110,1000,20240709,20240831,EUR,47835.89
100,0070000037,2024,0000000149,2000,20241022,20241111,EUR,22605.24
100,0070000038,2023,0000000023,1000,20221013,20221208,EUR,38870.47
100,0070000039,2024,0000000128,2000,20241227,20240408,EUR,38989.11
100,0070000040,2023,0000000183,1000,20220214,20231021,EUR,7926.9
100,0070000041,2024,0000000186,2000,20231028,20231112,EUR,43518.25
100,0070000042,2023,0000000190,1000,20241119,20230904,EUR,11931.7
100,0070000043,2024,0000000036,2000,20220529,20230109,EUR,25458.66
100,0070000044,2023,0000000129,1000,20220204,20220314,EUR,24877.71
100,0070000045,2024,0000000023,2000,20230904,20220926,EUR,47954.2
100,0070000046,2023,0000000187,1000,20241227,20240227,EUR,37404.82
100,0070000047,2024,0000000119,2000,20220426,20240907,EUR,43299.22
100,0070000048,2023,0000000173,1000,20220403,20230903,EUR,10042.15
100,0070000049,2024,0000000146,2000,20221120,20231121,EUR,18402.89
100,0070000050,2023,0000000156,1000,20240517,20220917,EUR,12783.74
100,0070000051,2024,0000000007,2000,20240722,20240403,EUR,12194.31
100,0070000052,2023,0000000186,1000,20231218,20230625,EUR,3229.32
100,0070000053,2024,0000000170,2000,20231217,20221029,EUR,15308.35
100,0070000054,2023,0000000167,1000,20240517,20240513,EUR,45452.89
100,0070000055,2024,0000000145,2000,20220616,20221121,EUR,1654.61
100,0070000056,2023,0000000163,1000,20230307,20230307,EUR,20957.03
100,0070000057,2024,0000000161,2000,20230525,20240706,EUR,34737.4
100,0070000058,2023,0000000083,1000,20220319,20221027,EUR,12910.53
100,0070000059,2024,0000000035,2000,20240228,20230813,EUR,22402.89
100,0070000060,2023,0000000063,1000,20240513,20241120,EUR,43206.95
100,0070000061,2024,0000000199,2000,20230523,20220513,EUR,13708.89
100,0070000062,2023,0000000187,1000,20240830,20240123,EUR,40241.76
100,0070000063,2024,0000000059,2000,20220123,20241103,EUR,34811.08
100,0070000064,2023,0000000117,1000,20240831,20230922,EUR,42765.37
100,0070000065,2024,0000000148,2000,20230928,20230620,EUR,7691.59
100,0070000066,2023,0000000130,1000,20240124,20240317,EUR,13817.63
100,0070000067,2024,0000000185,2000,20241015,20220927,EUR,42737.41
