MANDT,RSNUM,RSPOS,AUFNR,MATNR,BDMNG,MEINS,WERKS
100,RES0000001,0002,1000000,MAT000236,6124.29,KG,1200
100,RES0000002,0003,1000000,MAT000097,13780.76,KG,1200
100,RES0000003,0004,1000000,MAT000114,8987.58,KG,1200
100,RES0000004,0005,1000001,MAT000362,18344.16,KG,1000
100,RES0000005,0006,1000001,MAT000459,19948.06,KG,1000
100,RES0000006,0007,1000001,MAT000286,13597.53,KG,1000
100,RES0000007,0008,1000001,MAT000292,3439.78,KG,1000
100,RES0000008,0009,1000001,MAT000314,9073.14,KG,1000
100,RES0000009,0010,1000001,MAT000034,14331.08,KG,1000
100,RES0000010,0001,1000002,MAT000049,8519.52,KG,1200
100,RES0000011,0002,1000002,MAT000470,31225.97,KG,1200
100,RES0000012,0003,1000002,MAT000450,25640.76,KG,1200
100,RES0000013,0004,1000002,MAT000407,12088.76,KG,1200
100,RES0000014,0005,1000002,MAT000387,31554.0,KG,1200
100,RES0000015,0006,1000003,MAT000025,902.45,KG,1100
100,RES0000016,0007,1000003,MAT000041,18396.54,KG,1100
100,RES0000017,0008,1000003,MAT000196,6621.98,KG,1100
100,RES0000018,0009,1000003,MAT000136,12900.07,KG,1100
100,RES0000019,0010,1000003,MAT000252,15052.56,KG,1100
100,RES0000020,0001,1000003,MAT000114,1203.57,KG,1100
100,RES0000021,0002,1000004,MAT000284,29175.7,KG,1100
100,RES0000022,0003,1000004,MAT000269,21335.03,KG,1100
100,RES0000023,0004,1000004,MAT000030,10379.91,KG,1100
100,RES0000024,0005,1000004,MAT000472,13609.9,KG,1100
100,RES0000025,0006,1000004,MAT000115,23860.45,KG,1100
100,RES0000026,0007,1000005,MAT000409,12676.15,KG,1100
100,RES0000027,0008,1000005,MAT000049,18289.91,KG,1100
100,RES0000028,0009,1000005,MAT000306,12490.9,KG,1100
100,RES0000029,0010,1000005,MAT000036,17385.24,KG,1100
100,RES0000030,0001,1000005,MAT000492,569.04,KG,1100
100,RES0000031,0002,1000005,MAT000478,761.67,KG,1100
100,RES0000032,0003,1000005,MAT000393,18706.62,KG,1100
100,RES0000033,0004,1000005,MAT000346,3263.39,KG,1100
100,RES0000034,0005,1000006,MAT000398,223.71,KG,1000
100,RES0000035,0006,1000006,MAT000394,139.23,KG,1000
100,RES0000036,0007,1000006,MAT000030,80.53,KG,1000
100,RES0000037,0008,1000006,MAT000393,134.47,KG,1000
100,RES0000038,0009,1000006,MAT000123,182.78,KG,1000
100,RES0000039,0010,1000006,MAT000298,321.06,KG,1000
100,RES0000040,0001,1000006,MAT000079,298.55,KG,1000
100,RES0000041,0002,1000006,MAT000498,247.43,KG,1000
100,RES0000042,0003,1000007,MAT000470,1387.09,KG,1100
100,RES0000043,0004,1000007,MAT000084,1713.53,KG,1100
100,RES0000044,0005,1000007,MAT000359,194.57,KG,1100
100,RES0000045,0006,1000007,MAT000043,1865.13,KG,1100
100,RES0000046,0007,1000007,MAT000229,2309.93,KG,1100
100,RES0000047,0008,1000007,MAT000136,2326.4,KG,1100
100,RES0000048,0009,1000007,MAT000257,1066.89,KG,1100
100,RES0000049,0010,1000007,MAT000020,1954.54,KG,1100
100,RES0000050,0001,1000008,MAT000025,608.53,KG,1100
100,RES0000051,0002,1000008,MAT000041,12404.9,KG,1100
100,RES0000052,0003,1000008,MAT000196,4465.24,KG,1100
100,RES0000053,0004,1000008,MAT000136,8698.6,KG,1100
100,RES0000054,0005,1000008,MAT000252,10150.03,KG,1100
100,RES0000055,0006,1000008,MAT000114,811.58,KG,1100
100,RES0000056,0007,1000009,MAT000116,9857.08,KG,1200
100,RES0000057,0008,1000009,MAT000164,12982.74,KG,1200
100,RES0000058,0009,1000009,MAT000240,5577.05,KG,1200
100,RES0000059,0010,1000009,MAT000079,19428.24,KG,1200
100,RES0000060,0001,1000009,MAT000128,10432.7,KG,1200
100,RES0000061,0002,1000010,MAT000380,4727.32,KG,1000
100,RES0000062,0003,1000010,MAT000362,6132.61,KG,1000
100,RES0000063,0004,1000010,MAT000236,5017.03,KG,1000
100,RES0000064,0005,1000010,MAT000498,8015.9,KG,1000
100,RES0000065,0006,1000011,MAT000424,1624.64,KG,1000
100,RES0000066,0007,1000011,MAT000407,7987.59,KG,1000
100,RES0000067,0008,1000011,MAT000244,7412.78,KG,1000
100,RES0000068,0009,1000011,MAT000476,30375.61,KG,1000
100,RES0000069,0010,1000011,MAT000362,14122.16,KG,1000
100,RES0000070,0001,1000011,MAT000023,10995.15,KG,1000
100,RES0000071,0002,1000011,MAT000478,31263.83,KG,1000
100,RES0000072,0003,1000011,MAT000026,20225.81,KG,1000
100,RES0000073,0004,1000012,MAT000162,505.53,KG,1100
100,RES0000074,0005,1000012,MAT000241,1165.66,KG,1100
100,RES0000075,0006,1000012,MAT000149,1924.31,KG,1100
100,RES0000076,0007,1000012,MAT000436,540.76,KG,1100
100,RES0000077,0008,1000012,MAT000424,451.59,KG,1100
100,RES0000078,0009,1000012,MAT000307,193.44,KG,1100
100,RES0000079,0010,1000012,MAT000405,491.15,KG,1100
100,RES0000080,0001,1000013,MAT000088,23.5,KG,1000
100,RES0000081,0002,1000013,MAT000437,9.79,KG,1000
100,RES0000082,0003,1000013,MAT000298,12.16,KG,1000
100,RES0000083,0004,1000014,MAT000037,31626.03,KG,1100
100,RES0000084,0005,1000014,MAT000452,40893.53,KG,1100
100,RES0000085,0006,1000014,MAT000494,552.17,KG,1100
100,RES0000086,0007,1000014,MAT000236,20016.69,KG,1100
100,RES0000087,0008,1000015,MAT000243,454.12,KG,1000
100,RES0000088,0009,1000015,MAT000044,353.79,KG,1000
100,RES0000089,0010,1000015,MAT000284,539.58,KG,1000
100,RES0000090,0001,1000015,MAT000472,405.7,KG,1000
100,RES0000091,0002,1000015,MAT000362,327.89,KG,1000
100,RES0000092,0003,1000016,MAT000448,16015.94,KG,1200
100,RES0000093,0004,1000016,MAT000021,32833.8,KG,1200
100,RES0000094,0005,1000016,MAT000025,17457.08,KG,1200
100,RES0000095,0006,1000016,MAT000053,5680.67,KG,1200
100,RES0000096,0007,1000016,MAT000273,4935.88,KG,1200
100,RES0000097,0008,1000016,MAT000405,32679.78,KG,1200
100,RES0000098,0009,1000017,MAT000116,13638.16,KG,1000
