MANDT,LGNUM,IVNUM,IVPOS,MATNR,LGTYP,LGPLA
100,001,0000000001,0001,000000000000100717,A,0000000001
100,002,0000000002,0002,000000000000100772,B,0000000002
100,003,0000000003,0003,000000000000100126,C,0000000003
100,001,0000000004,0004,000000000000100102,A,0000000004
100,002,0000000005,0005,000000000000100564,B,0000000005
100,003,0000000006,0001,000000000000100113,C,0000000006
100,001,0000000007,0002,000000000000100728,A,0000000007
100,002,0000000008,0003,000000000000100591,B,0000000008
100,003,0000000009,0004,000000000000100215,C,0000000009
100,001,0000000010,0005,000000000000100285,A,0000000010
100,002,0000000011,0001,000000000000100002,B,0000000011
100,003,0000000012,0002,000000000000100218,C,0000000012
100,001,0000000013,0003,000000000000100149,A,0000000013
100,002,0000000014,0004,000000000000100310,B,0000000014
100,003,0000000015,0005,000000000000100185,C,0000000015
100,001,0000000016,0001,000000000000100151,A,0000000016
100,002,0000000017,0002,000000000000100320,B,0000000017
100,003,0000000018,0003,000000000000100030,C,0000000018
100,001,0000000019,0004,000000000000100314,A,0000000019
100,002,0000000020,0005,000000000000100565,B,0000000020
100,003,0000000021,0001,000000000000100216,C,0000000021
100,001,0000000022,0002,000000000000100751,A,0000000022
100,002,0000000023,0003,000000000000100588,B,0000000023
100,003,0000000024,0004,000000000000100291,C,0000000024
100,001,0000000025,0005,000000000000100527,A,0000000025
100,002,0000000026,0001,000000000000100959,B,0000000026
100,003,0000000027,0002,000000000000100100,C,0000000027
100,001,0000000028,0003,000000000000100097,A,0000000028
100,002,0000000029,0004,000000000000100136,B,0000000029
100,003,0000000030,0005,000000000000100017,C,0000000030
100,001,0000000031,0001,000000000000100194,A,0000000031
100,002,0000000032,0002,000000000000100984,B,0000000032
100,003,0000000033,0003,000000000000100702,C,0000000033
100,001,0000000034,0004,000000000000100959,A,0000000034
100,002,0000000035,0005,000000000000100205,B,0000000035
100,003,0000000036,0001,000000000000100585,C,0000000036
100,001,0000000037,0002,000000000000100463,A,0000000037
100,002,0000000038,0003,000000000000100825,B,0000000038
100,003,0000000039,0004,000000000000100405,C,0000000039
100,001,0000000040,0005,000000000000100411,A,0000000040
100,002,0000000041,0001,000000000000100997,B,0000000041
100,003,0000000042,0002,000000000000100855,C,0000000042
