MANDT,BESSION,GJAHR,BUZEI,EBELN,EBELP,MATNR,WERKS,MENGE,MEINS,WRBTR
100,0070000000,2023,001,0045000000,00010,000000000000100718,0001,715.546,KG,20734.64
100,0070000001,2024,001,0045000001,00010,000000000000100896,0002,76.966,KG,1242.95
100,0070000002,2023,001,0045000002,00010,000000000000100850,0003,346.987,KG,2015.05
100,0070000003,2024,001,0045000003,00010,000000000000100581,0004,545.042,KG,10360.48
100,0070000004,2023,001,0045000004,00010,000000000000100957,0005,394.4,KG,1475.32
100,0070000005,2024,001,0045000005,00010,000000000000100970,0006,187.333,KG,3279.42
100,0070000006,2023,001,0045000006,00010,000000000000100541,0007,377.354,KG,7808.14
100,0070000007,2024,001,0045000007,00010,000000000000100700,0008,552.407,KG,4825.59
100,0070000008,2023,001,0045000008,00010,000000000000100878,0009,190.923,KG,6243.46
100,0070000009,2024,001,0045000009,00010,000000000000100613,0010,373.66,KG,11128.31
100,0070000010,2023,001,0045000010,00010,000000000000100755,0001,318.595,KG,10503.23
100,0070000011,2024,001,0045000011,00010,000000000000100902,0002,342.256,KG,12273.54
100,0070000012,2023,001,0045000012,00010,000000000000100592,0003,808.28,KG,5186.24
100,0070000013,2024,001,0045000013,00010,000000000000100919,0004,533.634,KG,18006.78
100,0070000014,2023,001,0045000014,00010,000000000000100637,0005,377.463,KG,18174.86
100,0070000015,2024,001,0045000015,00010,000000000000100626,0006,899.137,KG,7810.79
100,0070000016,2023,001,0045000016,00010,000000000000100594,0007,90.451,KG,4305.86
100,0070000017,2024,001,0045000017,00010,000000000000100536,0008,882.737,KG,3001.32
100,0070000018,2023,001,0045000018,00010,000000000000100500,0009,643.261,KG,2966.33
100,0070000019,2024,001,0045000019,00010,000000000000100794,0010,806.973,KG,37900.15
100,0070000020,2023,001,0045000020,00010,000000000000100672,0001,245.056,KG,8182.99
100,0070000021,2024,001,0045000021,00010,000000000000100826,0002,446.766,KG,19893.79
100,0070000022,2023,001,0045000022,00010,000000000000100603,0003,676.679,KG,27070.25
100,0070000023,2024,001,0045000023,00010,000000000000100627,0004,54.804,KG,193.42
100,0070000024,2023,001,0045000024,00010,000000000000100637,0005,952.123,KG,15444.82
100,0070000025,2024,001,0045000025,00010,000000000000100949,0006,615.107,KG,25211.43
100,0070000026,2023,001,0045000026,00010,000000000000100962,0007,934.111,KG,15995.54
100,0070000027,2024,001,0045000027,00010,000000000000100684,0008,530.437,KG,13527.3
100,0070000028,2023,001,0045000028,00010,000000000000100549,0009,718.029,KG,6664.59
100,0070000029,2024,001,0045000029,00010,000000000000100633,0010,384.058,KG,16885.09
100,0070000030,2023,001,0045000030,00010,000000000000100754,0001,825.726,KG,17072.29
100,0070000031,2024,001,0045000031,00010,000000000000100846,0002,911.153,KG,30276.67
100,0070000032,2023,001,0045000032,00010,000000000000100902,0003,679.8,KG,6520.64
100,0070000033,2024,001,0045000033,00010,000000000000100619,0004,233.945,KG,2873.79
100,0070000034,2023,001,0045000034,00010,000000000000100856,0005,610.643,KG,23333.82
100,0070000035,2024,001,0045000035,00010,000000000000100694,0006,821.257,KG,5391.51
100,0070000036,2023,001,0045000036,00010,000000000000100559,0007,575.332,KG,10657.66
100,0070000037,2024,001,0045000037,00010,000000000000100887,0008,856.487,KG,4033.42
100,0070000038,2023,001,0045000038,00010,000000000000100672,0009,180.114,KG,3679.21
100,0070000039,2024,001,0045000039,00010,000000000000100800,0010,940.159,KG,17962.9
100,0070000040,2023,001,0045000040,00010,000000000000100688,0001,647.46,KG,20201.97
100,0070000041,2024,001,0045000041,00010,000000000000100814,0002,366.109,KG,10560.37
100,0070000042,2023,001,0045000042,00010,000000000000100845,0003,110.367,KG,1248.43
