MANDT,STLTY,STLNR,STLAL,DAESSION,BMENG,BMEIN
100,M,BOM000001,01,20210830,500,ST
100,M,BOM000002,01,20200815,500,ST
100,M,BOM000003,01,20200812,1000,ST
100,M,BOM000004,01,20200612,500,ST
100,M,BOM000005,01,20190410,500,ST
100,M,BOM000006,01,20201009,500,ST
100,M,BOM000007,01,20200121,100,ST
100,M,BOM000008,01,20211207,500,ST
100,M,BOM000009,01,20210520,100,ST
100,M,BOM000010,01,20190911,100,ST
100,M,BOM000011,01,20200510,1000,ST
100,M,BOM000012,01,20210830,1000,ST
100,M,BOM000013,01,20190911,500,ST
100,M,BOM000014,01,20210628,500,ST
100,M,BOM000015,01,20210122,1000,ST
100,M,BOM000016,01,20190728,500,ST
100,M,BOM000017,01,20210330,1000,ST
100,M,BOM000018,01,20191003,100,ST
100,M,BOM000019,01,20201031,1000,ST
100,M,BOM000020,01,20211016,500,ST
100,M,BOM000021,01,20210625,500,ST
100,M,BOM000022,01,20211001,1000,ST
100,M,BOM000023,01,20190403,1000,ST
100,M,BOM000024,01,20210423,500,ST
100,M,BOM000025,01,20191214,500,ST
100,M,BOM000026,01,20200630,500,ST
100,M,BOM000027,01,20190720,1000,ST
100,M,BOM000028,01,20200314,100,ST
100,M,BOM000029,01,20201120,1000,ST
100,M,BOM000030,01,20201003,500,ST
100,M,BOM000031,01,20211123,1000,ST
100,M,BOM000032,01,20210607,1000,ST
100,M,BOM000033,01,20200221,1000,ST
100,M,BOM000034,01,20210612,500,ST
100,M,BOM000035,01,20210922,1000,ST
100,M,BOM000036,01,20210114,500,ST
100,M,BOM000037,01,20201003,100,ST
100,M,BOM000038,01,20190425,1000,ST
100,M,BOM000039,01,20200923,500,ST
100,M,BOM000040,01,20200505,1000,ST
100,M,BOM000041,01,20210315,100,ST
100,M,BOM000042,01,20210412,1000,ST
100,M,BOM000043,01,20210515,1000,ST
100,M,BOM000044,01,20201031,1000,ST
100,M,BOM000045,01,20200526,100,ST
100,M,BOM000046,01,20200108,500,ST
100,M,BOM000047,01,20210401,100,ST
100,M,BOM000048,01,20200404,100,ST
100,M,BOM000049,01,20200620,500,ST
100,M,BOM000050,01,20210325,500,ST
100,M,BOM000051,01,20190404,1000,ST
100,M,BOM000052,01,20190326,100,ST
100,M,BOM000053,01,20210108,500,ST
100,M,BOM000054,01,20210620,1000,ST
100,M,BOM000055,01,20210814,1000,ST
100,M,BOM000056,01,20200105,500,ST
100,M,BOM000057,01,20200105,1000,ST
100,M,BOM000058,01,20191111,500,ST
100,M,BOM000059,01,20190112,1000,ST
100,M,BOM000060,01,20200802,100,ST
100,M,BOM000061,01,20200302,100,ST
100,M,BOM000062,01,20200927,500,ST
100,M,BOM000063,01,20210522,500,ST
100,M,BOM000064,01,20191114,1000,ST
100,M,BOM000065,01,20211207,100,ST
100,M,BOM000066,01,20200605,500,ST
100,M,BOM000067,01,20210710,1000,ST
100,M,BOM000068,01,20210409,1000,ST
100,M,BOM000069,01,20200510,1000,ST
100,M,BOM000070,01,20210823,500,ST
100,M,BOM000071,01,20201114,100,ST
100,M,BOM000072,01,20200818,1000,ST
100,M,BOM000073,01,20200419,500,ST
100,M,BOM000074,01,20200812,100,ST
100,M,BOM000075,01,20210107,500,ST
100,M,BOM000076,01,20200913,500,ST
100,M,BOM000077,01,20190307,1000,ST
100,M,BOM000078,01,20201127,500,ST
100,M,BOM000079,01,20190805,100,ST
100,M,BOM000080,01,20191112,100,ST
100,M,BOM000081,01,20200517,1000,ST
100,M,BOM000082,01,20210110,1000,ST
100,M,BOM000083,01,20201006,500,ST
100,M,BOM000084,01,20200828,1000,ST
100,M,BOM000085,01,20210624,1000,ST
100,M,BOM000086,01,20201128,1000,ST
100,M,BOM000087,01,20190913,1000,ST
100,M,BOM000088,01,20200423,1000,ST
100,M,BOM000089,01,20210719,500,ST
100,M,BOM000090,01,20200315,500,ST
