MANDT,STLTY,STLNR,STLKN,STPOZ,IDNRK,MENGE,MEINS
100,M,BOM000001,0010,0001,MAT000306,160.6,KG
100,M,BOM000001,0020,0002,MAT000048,70.15,KG
100,M,BOM000001,0030,0003,MAT000481,45.79,KG
100,M,BOM000001,0040,0004,MAT000339,116.87,KG
100,M,BOM000001,0050,0005,MAT000079,143.06,KG
100,M,BOM000001,0060,0006,MAT000033,228.93,KG
100,M,BOM000001,0070,0007,MAT000370,51.82,KG
100,M,BOM000002,0010,0001,MAT000420,58.07,KG
100,M,BOM000002,0020,0002,MAT000042,198.33,KG
100,M,BOM000002,0030,0003,MAT000286,40.62,KG
100,M,BOM000002,0040,0004,MAT000478,76.79,KG
100,M,BOM000002,0050,0005,MAT000424,161.04,KG
100,M,BOM000002,0060,0006,MAT000461,160.05,KG
100,M,BOM000002,0070,0007,MAT000400,33.23,KG
100,M,BOM000003,0010,0001,MAT000162,383.54,KG
100,M,BOM000003,0020,0002,MAT000420,249.06,KG
100,M,BOM000003,0030,0003,MAT000025,485.46,KG
100,M,BOM000003,0040,0004,MAT000232,301.45,KG
100,M,BOM000003,0050,0005,MAT000039,184.07,KG
100,M,BOM000003,0060,0006,MAT000098,242.84,KG
100,M,BOM000004,0010,0001,MAT000407,146.46,KG
100,M,BOM000004,0020,0002,MAT000098,38.67,KG
100,M,BOM000004,0030,0003,MAT000336,116.61,KG
100,M,BOM000004,0040,0004,MAT000441,174.09,KG
100,M,BOM000004,0050,0005,MAT000473,90.95,KG
100,M,BOM000004,0060,0006,MAT000036,15.59,KG
100,M,BOM000004,0070,0007,MAT000241,91.89,KG
100,M,BOM000004,0080,0008,MAT000137,159.97,KG
100,M,BOM000005,0010,0001,MAT000273,50.47,KG
100,M,BOM000005,0020,0002,MAT000450,157.94,KG
100,M,BOM000005,0030,0003,MAT000023,191.76,KG
100,M,BOM000005,0040,0004,MAT000051,150.69,KG
100,M,BOM000005,0050,0005,MAT000441,43.87,KG
100,M,BOM000006,0010,0001,MAT000286,5.69,KG
100,M,BOM000006,0020,0002,MAT000252,130.75,KG
100,M,BOM000006,0030,0003,MAT000331,94.82,KG
100,M,BOM000006,0040,0004,MAT000084,122.51,KG
100,M,BOM000006,0050,0005,MAT000452,86.73,KG
100,M,BOM000006,0060,0006,MAT000476,227.92,KG
100,M,BOM000006,0070,0007,MAT000328,27.85,KG
100,M,BOM000006,0080,0008,MAT000116,40.75,KG
100,M,BOM000007,0010,0001,MAT000494,45.84,KG
100,M,BOM000007,0020,0002,MAT000448,6.27,KG
100,M,BOM000007,0030,0003,MAT000452,7.0,KG
100,M,BOM000007,0040,0004,MAT000459,1.36,KG
100,M,BOM000007,0050,0005,MAT000097,17.74,KG
100,M,BOM000007,0060,0006,MAT000380,34.71,KG
100,M,BOM000007,0070,0007,MAT000398,7.38,KG
100,M,BOM000008,0010,0001,MAT000157,34.36,KG
100,M,BOM000008,0020,0002,MAT000286,174.33,KG
100,M,BOM000008,0030,0003,MAT000039,172.79,KG
100,M,BOM000008,0040,0004,MAT000098,78.59,KG
100,M,BOM000008,0050,0005,MAT000208,54.44,KG
100,M,BOM000009,0010,0001,MAT000096,2.12,KG
100,M,BOM000009,0020,0002,MAT000051,33.16,KG
100,M,BOM000009,0030,0003,MAT000036,29.86,KG
100,M,BOM000009,0040,0004,MAT000409,23.72,KG
100,M,BOM000009,0050,0005,MAT000388,45.47,KG
100,M,BOM000009,0060,0006,MAT000042,2.64,KG
