MANDT,WERKS,LGORT,LGOBE
100,0001,0001,Storage 0001 in 0001
100,0001,0002,Storage 0002 in 0001
100,0001,0003,Storage 0003 in 0001
100,0002,0001,Storage 0001 in 0002
100,0002,0002,Storage 0002 in 0002
100,0002,0003,Storage 0003 in 0002
100,0003,0001,Storage 0001 in 0003
100,0003,0002,Storage 0002 in 0003
100,0003,0003,Storage 0003 in 0003
100,0004,0001,Storage 0001 in 0004
100,0004,0002,Storage 0002 in 0004
100,0004,0003,Storage 0003 in 0004
100,0005,0001,Storage 0001 in 0005
100,0005,0002,Storage 0002 in 0005
100,0005,0003,Storage 0003 in 0005
100,0006,0001,Storage 0001 in 0006
100,0006,0002,Storage 0002 in 0006
100,0006,0003,Storage 0003 in 0006
100,0007,0001,Storage 0001 in 0007
100,0007,0002,Storage 0002 in 0007
100,0007,0003,Storage 0003 in 0007
100,0008,0001,Storage 0001 in 0008
100,0008,0002,Storage 0002 in 0008
100,0008,0003,Storage 0003 in 0008
100,0009,0001,Storage 0001 in 0009
100,0009,0002,Storage 0002 in 0009
100,0009,0003,Storage 0003 in 0009
100,0010,0001,Storage 0001 in 0010
100,0010,0002,Storage 0002 in 0010
100,0010,0003,Storage 0003 in 0010
