MANDT,ORGEH,SPRAS,ORGTX
100,00000001,E,Org Unit 1
100,00000002,E,Org Unit 2
100,00000003,E,Org Unit 3
100,00000004,E,Org Unit 4
100,00000005,E,Org Unit 5
100,00000006,E,Org Unit 6
100,00000007,E,Org Unit 7
100,00000008,E,Org Unit 8
100,00000009,E,Org Unit 9
100,00000010,E,Org Unit 10
100,00000011,E,Org Unit 11
100,00000012,E,Org Unit 12
100,00000013,E,Org Unit 13
100,00000014,E,Org Unit 14
100,00000015,E,Org Unit 15
100,00000016,E,Org Unit 16
100,00000017,E,Org Unit 17
100,00000018,E,Org Unit 18
100,00000019,E,Org Unit 19
100,00000020,E,Org Unit 20
