MANDT,VBELN,AUART,VKORG,VTWEG,SPART,KUNNR,ERDAT,NETWR,WAERK
100,8000000001,ZOR,1000,10,00,CUS000113,20240822,107202.01,EUR
100,8000000002,ZOR,1000,10,00,CUS000117,20230919,63746.4,EUR
100,8000000003,RE,1000,10,00,CUS000099,20240204,92568.39,EUR
100,8000000004,RE,1000,10,00,CUS000179,20240125,65445.57,EUR
100,8000000005,RE,1000,10,00,CUS000174,20251218,33819.5,EUR
100,8000000006,ZOR,1000,10,00,CUS000004,20221127,34264.3,EUR
100,8000000007,RE,1000,10,00,CUS000110,20221206,114537.89,EUR
100,8000000008,OR,1000,10,00,CUS000179,20240326,14168.07,EUR
100,8000000009,OR,1000,10,00,CUS000146,20240711,139892.04,EUR
100,8000000010,ZOR,1000,10,00,CUS000150,20250924,109195.58,EUR
100,8000000011,OR,1000,10,00,CUS000026,20231108,2408.7,EUR
100,8000000012,ZOR,1000,10,00,CUS000116,20240125,111833.38,EUR
100,8000000013,OR,1000,10,00,CUS000180,20250910,97608.31,EUR
100,8000000014,OR,1000,10,00,CUS000084,20221125,309239.33,EUR
100,8000000015,ZOR,1000,10,00,CUS000023,20220817,118600.52,EUR
100,8000000016,RE,1000,10,00,CUS000082,20240517,97187.73,EUR
100,8000000017,RE,1000,10,00,CUS000071,20220910,101213.5,EUR
100,8000000018,OR,1000,10,00,CUS000101,20250127,104093.4,EUR
100,8000000019,OR,1000,10,00,CUS000179,20240623,26193.44,EUR
100,8000000020,RE,1000,10,00,CUS000025,20220426,59210.45,EUR
100,8000000021,OR,1000,10,00,CUS000168,20221220,87360.32,EUR
100,8000000022,RE,1000,10,00,CUS000047,20250429,53447.94,EUR
100,8000000023,ZOR,1000,10,00,CUS000017,20240927,113267.15,EUR
100,8000000024,ZOR,1000,10,00,CUS000011,20220909,4734.8,EUR
100,8000000025,RE,1000,10,00,CUS000140,20240115,17496.64,EUR
100,8000000026,ZOR,1000,10,00,CUS000178,20241001,77882.75,EUR
100,8000000027,RE,1000,10,00,CUS000033,20230723,34904.9,EUR
100,8000000028,OR,1000,10,00,CUS000155,20241113,64556.82,EUR
100,8000000029,OR,1000,10,00,CUS000032,20230708,36672.46,EUR
100,8000000030,RE,1000,10,00,CUS000027,20240215,84236.67,EUR
