MANDT,VBELN,POSNR,MATNR,KWMENG,VRKME,NETWR,WERKS
100,8000000001,000010,MAT000474,3560,ST,68957.2,1100
100,8000000001,000020,MAT000066,2469,ST,38244.81,1000
100,8000000002,000010,MAT000421,4974,ST,63667.2,1100
100,8000000002,000020,MAT000152,44,ST,79.2,1200
100,8000000003,000010,MAT000440,593,ST,6588.23,1000
100,8000000003,000020,MAT000153,3584,ST,85980.16,1200
100,8000000004,000010,MAT000280,3483,ST,65445.57,1000
100,8000000005,000010,MAT000111,2150,ST,33819.5,1200
100,8000000006,000010,MAT000070,3158,ST,34264.3,1200
100,8000000007,000010,MAT000216,4111,ST,99650.64,1200
100,8000000007,000020,MAT000069,905,ST,14887.25,1100
100,8000000008,000010,MAT000135,4038,ST,6218.52,1000
100,8000000008,000020,MAT000312,1407,ST,7949.55,1000
100,8000000009,000010,MAT000150,1656,ST,4785.84,1000
100,8000000009,000020,MAT000294,3620,ST,58752.6,1200
100,8000000009,000030,MAT000211,712,ST,7390.56,1100
100,8000000009,000040,MAT000355,3984,ST,68963.04,1000
100,8000000010,000010,MAT000011,803,ST,5187.38,1000
100,8000000010,000020,MAT000195,3990,ST,50353.8,1100
100,8000000010,000030,MAT000249,2592,ST,53654.4,1100
100,8000000011,000010,MAT000290,1147,ST,2408.7,1000
100,8000000012,000010,MAT000354,4228,ST,47395.88,1000
100,8000000012,000020,MAT000231,146,ST,2392.94,1000
100,8000000012,000030,MAT000358,3288,ST,62044.56,1000
100,8000000013,000010,MAT000280,2417,ST,38116.09,1200
100,8000000013,000020,MAT000375,270,ST,1215.0,1000
100,8000000013,000030,MAT000347,1386,ST,31282.02,1000
100,8000000013,000040,MAT000168,1406,ST,26995.2,1200
100,8000000014,000010,MAT000200,1815,ST,33396.0,1200
100,8000000014,000020,MAT000104,4388,ST,71919.32,1100
100,8000000014,000030,MAT000174,4728,ST,92243.28,1200
100,8000000014,000040,MAT000275,4613,ST,111680.73,1100
100,8000000015,000010,MAT000451,1551,ST,29469.0,1000
100,8000000015,000020,MAT000275,4736,ST,89131.52,1100
100,8000000016,000010,MAT000095,4267,ST,72965.7,1200
