MANDT,VBELN,POSNR,ETENR,EDATU,WMENG,VRKME
100,8000000001,000010,0001,20240825,3560,ST
100,8000000001,000020,0001,20240911,2469,ST
100,8000000002,000010,0001,20230926,4974,ST
100,8000000002,000020,0001,20231003,44,ST
100,8000000003,000010,0001,20240210,593,ST
100,8000000003,000020,0001,20240218,3584,ST
100,8000000004,000010,0001,20240212,3483,ST
100,8000000005,000010,0001,20251225,2150,ST
100,8000000006,000010,0001,20221202,3158,ST
100,8000000007,000010,0001,20221221,4111,ST
100,8000000007,000020,0001,20221213,905,ST
100,8000000008,000010,0001,20240411,4038,ST
100,8000000008,000020,0001,20240402,1407,ST
100,8000000009,000010,0001,20240720,1656,ST
100,8000000009,000020,0001,20240717,3620,ST
100,8000000009,000030,0001,20240716,712,ST
100,8000000009,000040,0001,20240714,3984,ST
100,8000000010,000010,0001,20251009,803,ST
100,8000000010,000020,0001,20251010,3990,ST
100,8000000010,000030,0001,20251009,2592,ST
100,8000000011,000010,0001,20231127,1147,ST
100,8000000012,000010,0001,20240128,4228,ST
100,8000000012,000020,0001,20240207,146,ST
100,8000000012,000030,0001,20240208,3288,ST
100,8000000013,000010,0001,20250917,2417,ST
100,8000000013,000020,0001,20250922,270,ST
100,8000000013,000030,0001,20250928,1386,ST
100,8000000013,000040,0001,20250915,1406,ST
100,8000000014,000010,0001,20221213,1815,ST
100,8000000014,000020,0001,20221130,4388,ST
100,8000000014,000030,0001,20221130,4728,ST
100,8000000014,000040,0001,20221205,4613,ST
100,8000000015,000010,0001,20220907,1551,ST
100,8000000015,000020,0001,20220821,4736,ST
100,8000000016,000010,0001,20240527,4267,ST
100,8000000016,000020,0001,20240527,2598,ST
100,8000000016,000030,0001,20240521,2331,ST
100,8000000017,000010,0001,20220928,3928,ST
100,8000000017,000020,0001,20220919,2739,ST
100,8000000017,000030,0001,20220928,440,ST
100,8000000017,000040,0001,20220926,186,ST
100,8000000017,000050,0001,20220922,3213,ST
100,8000000018,000010,0001,20250208,4764,ST
100,8000000019,000010,0001,20240702,1728,ST
100,8000000019,000020,0001,20240708,845,ST
100,8000000020,000010,0001,20220515,1481,ST
100,8000000020,000020,0001,20220506,3319,ST
100,8000000021,000010,0001,20230104,3808,ST
100,8000000021,000020,0001,20221226,105,ST
100,8000000021,000030,0001,20230110,1852,ST
100,8000000022,000010,0001,20250512,2454,ST
100,8000000022,000020,0001,20250502,1524,ST
100,8000000023,000010,0001,20241003,4425,ST
100,8000000023,000020,0001,20241005,1490,ST
100,8000000024,000010,0001,20220913,1330,ST
100,8000000025,000010,0001,20240127,2044,ST
100,8000000026,000010,0001,20241007,4975,ST
100,8000000026,000020,0001,20241008,1550,ST
100,8000000027,000010,0001,20230807,619,ST
100,8000000027,000020,0001,20230808,692,ST
100,8000000027,000030,0001,20230801,588,ST
100,8000000028,000010,0001,20241128,2601,ST
100,8000000029,000010,0001,20230713,3342,ST
100,8000000029,000020,0001,20230719,1208,ST
100,8000000030,000010,0001,20240307,1449,ST
100,8000000030,000020,0001,20240306,2868,ST
100,8000000030,000030,0001,20240223,1408,ST
100,8000000031,000010,0001,20250206,3916,ST
100,8000000031,000020,0001,20250214,1178,ST
100,8000000031,000030,0001,20250220,2050,ST
100,8000000031,000040,0001,20250222,4124,ST
100,8000000032,000010,0001,20230923,3340,ST
100,8000000032,000020,0001,20230930,1362,ST
100,8000000032,000030,0001,20230925,3483,ST
100,8000000032,000040,0001,20230927,1031,ST
100,8000000033,000010,0001,20240608,2010,ST
