MANDT,VBELV,POSNV,VBELN,POSNN,VBTYP_N,ERDAT
100,0000000001,000010,0080000000,000010,J,20231206
100,0000000002,000010,0080000001,000010,J,20221030
100,0000000003,000010,0080000002,000010,J,20240203
100,0000000004,000010,0080000003,000010,J,20240707
100,0000000005,000010,0080000004,000010,J,20221129
100,0000000006,000010,0080000005,000010,J,20241228
100,0000000007,000010,0080000006,000010,J,20230910
100,0000000008,000010,0080000007,000010,J,20220906
100,0000000009,000010,0080000008,000010,J,20220221
100,0000000010,000010,0080000009,000010,J,20240408
100,0000000011,000010,0080000010,000010,J,20241019
100,0000000012,000010,0080000011,000010,J,20221025
100,0000000013,000010,0080000012,000010,J,20240727
100,0000000014,000010,0080000013,000010,J,20231018
100,0000000015,000010,0080000014,000010,J,20221116
100,0000000016,000010,0080000015,000010,J,20220109
100,0000000017,000010,0080000016,000010,J,20241105
100,0000000018,000010,0080000017,000010,J,20231110
100,0000000019,000010,0080000018,000010,J,20230829
100,0000000020,000010,0080000019,000010,J,20240828
100,0000000021,000010,0080000020,000010,J,20230817
100,0000000022,000010,0080000021,000010,J,20221029
100,0000000023,000010,0080000022,000010,J,20240624
100,0000000024,000010,0080000023,000010,J,20231125
100,0000000025,000010,0080000024,000010,J,20220819
100,0000000026,000010,0080000025,000010,J,20240907
100,0000000027,000010,0080000026,000010,J,20220324
100,0000000028,000010,0080000027,000010,J,20221013
100,0000000029,000010,0080000028,000010,J,20220828
100,0000000030,000010,0080000029,000010,J,20230923
100,0000000031,000010,0080000030,000010,J,20220220
100,0000000032,000010,0080000031,000010,J,20240402
100,0000000033,000010,0080000032,000010,J,20230328
100,0000000034,000010,0080000033,000010,J,20240702
100,0000000035,000010,0080000034,000010,J,20240102
100,0000000036,000010,0080000035,000010,J,20220709
100,0000000037,000010,0080000036,000010,J,20231031
100,0000000038,000010,0080000037,000010,J,20220423
100,0000000039,000010,0080000038,000010,J,20230204
100,0000000040,000010,0080000039,000010,J,20241214
100,0000000041,000010,0080000040,000010,J,20230331
100,0000000042,000010,0080000041,000010,J,20230724
100,0000000043,000010,0080000042,000010,J,20230205
100,0000000044,000010,0080000043,000010,J,20220216
100,0000000045,000010,0080000044,000010,J,20220621
100,0000000046,000010,0080000045,000010,J,20240701
100,0000000047,000010,0080000046,000010,J,20220628
100,0000000048,000010,0080000047,000010,J,20241114
100,0000000049,000010,0080000048,000010,J,20240318
100,0000000050,000010,0080000049,000010,J,20230203
100,0000000051,000010,0080000050,000010,J,20241001
100,0000000052,000010,0080000051,000010,J,20231013
100,0000000053,000010,0080000052,000010,J,20241113
100,0000000054,000010,0080000053,000010,J,20220425
100,0000000055,000010,0080000054,000010,J,20240110
100,0000000056,000010,0080000055,000010,J,20240325
100,0000000057,000010,0080000056,000010,J,20221030
100,0000000058,000010,0080000057,000010,J,20240525
100,0000000059,000010,0080000058,000010,J,20240128
100,0000000060,000010,0080000059,000010,J,20240301
100,0000000061,000010,0080000060,000010,J,20240203
100,0000000062,000010,0080000061,000010,J,20220125
100,0000000063,000010,0080000062,000010,J,20230806
100,0000000064,000010,0080000063,000010,J,20231208
100,0000000065,000010,0080000064,000010,J,20231221
100,0000000066,000010,0080000065,000010,J,20230923
100,0000000067,000010,0080000066,000010,J,20240701
100,0000000068,000010,0080000067,000010,J,20220629
100,0000000069,000010,0080000068,000010,J,20230318
100,0000000070,000010,0080000069,000010,J,20240628
100,0000000071,000010,0080000070,000010,J,20240501
