MANDT,VBELN,POSNR,PARVW,KUNNR,LIFNR
100,0000000001,000000,AG,0000000260,
100,0000000001,000000,WE,0000000260,
100,0000000002,000000,AG,0000000051,
100,0000000002,000000,WE,0000000051,
100,0000000003,000000,AG,0000000175,
100,0000000003,000000,WE,0000000175,
100,0000000004,000000,AG,0000000186,
100,0000000004,000000,WE,0000000186,
100,0000000005,000000,AG,0000000133,
100,0000000005,000000,WE,0000000133,
100,0000000006,000000,AG,0000000080,
100,0000000006,000000,WE,0000000080,
100,0000000007,000000,AG,0000000193,
100,0000000007,000000,WE,0000000193,
100,0000000008,000000,AG,0000000438,
100,0000000008,000000,WE,0000000438,
100,0000000009,000000,AG,0000000481,
100,0000000009,000000,WE,0000000481,
100,0000000010,000000,AG,0000000328,
100,0000000010,000000,WE,0000000328,
100,0000000011,000000,AG,0000000024,
100,0000000011,000000,WE,0000000024,
100,0000000012,000000,AG,0000000391,
100,0000000012,000000,WE,0000000391,
100,0000000013,000000,AG,0000000344,
100,0000000013,000000,WE,0000000344,
100,0000000014,000000,AG,0000000416,
100,0000000014,000000,WE,0000000416,
100,0000000015,000000,AG,0000000307,
100,0000000015,000000,WE,0000000307,
100,0000000016,000000,AG,0000000237,
100,0000000016,000000,WE,0000000237,
100,0000000017,000000,AG,0000000083,
100,0000000017,000000,WE,0000000083,
100,0000000018,000000,AG,0000000117,
100,0000000018,000000,WE,0000000117,
100,0000000019,000000,AG,0000000376,
100,0000000019,000000,WE,0000000376,
100,0000000020,000000,AG,0000000197,
100,0000000020,000000,WE,0000000197,
100,0000000021,000000,AG,0000000010,
100,0000000021,000000,WE,0000000010,
100,0000000022,000000,AG,0000000079,
100,0000000022,000000,WE,0000000079,
100,0000000023,000000,AG,0000000152,
100,0000000023,000000,WE,0000000152,
100,0000000024,000000,AG,0000000403,
100,0000000024,000000,WE,0000000403,
100,0000000025,000000,AG,0000000150,
100,0000000025,000000,WE,0000000150,
100,0000000026,000000,AG,0000000223,
100,0000000026,000000,WE,0000000223,
100,0000000027,000000,AG,0000000389,
100,0000000027,000000,WE,0000000389,
100,0000000028,000000,AG,0000000378,
100,0000000028,000000,WE,0000000378,
100,0000000029,000000,AG,0000000432,
100,0000000029,000000,WE,0000000432,
100,0000000030,000000,AG,0000000190,
100,0000000030,000000,WE,0000000190,
100,0000000031,000000,AG,0000000396,
100,0000000031,000000,WE,0000000396,
100,0000000032,000000,AG,0000000144,
100,0000000032,000000,WE,0000000144,
100,0000000033,000000,AG,0000000217,
100,0000000033,000000,WE,0000000217,
100,0000000034,000000,AG,0000000396,
100,0000000034,000000,WE,0000000396,
100,0000000035,000000,AG,0000000237,
100,0000000035,000000,WE,0000000237,
100,0000000036,000000,AG,0000000240,
100,0000000036,000000,WE,0000000240,
100,0000000037,000000,AG,0000000073,
100,0000000037,000000,WE,0000000073,
100,0000000038,000000,AG,0000000019,
100,0000000038,000000,WE,0000000019,
100,0000000039,000000,AG,0000000184,
100,0000000039,000000,WE,0000000184,
100,0000000040,000000,AG,0000000034,
100,0000000040,000000,WE,0000000034,
100,0000000041,000000,AG,0000000227,
100,0000000041,000000,WE,0000000227,
