MANDT,VBELN,FKART,KUNNR,FKDAT,NETWR,WAERK
100,9000000001,F2,CUS000113,20240911,134221.54,EUR
100,9000000002,F2,CUS000117,20231004,82832.22,EUR
100,9000000003,F2,CUS000099,20240214,101017.08,EUR
100,9000000004,F2,CUS000179,20240201,13479.21,EUR
100,9000000005,F2,CUS000174,20251225,27025.5,EUR
100,9000000006,F2,CUS000004,20221206,69665.48,EUR
100,9000000007,F2,CUS000110,20221214,110514.68,EUR
100,9000000008,F2,CUS000179,20240405,127275.12,EUR
100,9000000009,F2,CUS000146,20240721,102467.88,EUR
100,9000000010,F2,CUS000150,20251003,135510.06,EUR
100,9000000011,F2,CUS000026,20231128,12433.48,EUR
100,9000000012,F2,CUS000116,20240210,65947.26,EUR
100,9000000013,F2,CUS000180,20250923,70687.89,EUR
100,9000000014,F2,CUS000084,20221130,321858.78,EUR
100,9000000015,F2,CUS000023,20220904,78372.99,EUR
100,9000000016,F2,CUS000071,20220928,168094.11,EUR
100,9000000017,F2,CUS000101,20250214,113954.88,EUR
100,9000000018,F2,CUS000179,20240705,70576.83,EUR
100,9000000019,F2,CUS000025,20220510,101851.75,EUR
100,9000000020,F2,CUS000168,20221227,113326.41,EUR
100,9000000021,F2,CUS000017,20241010,64437.8,EUR
100,9000000023,F2,CUS000178,20241015,164610.75,EUR
100,9000000024,F2,CUS000033,20230803,21038.02,EUR
100,9000000025,F2,CUS000155,20241121,63438.39,EUR
100,9000000026,F2,CUS000032,20230721,111468.14,EUR
100,9000000027,F2,CUS000153,20250217,182632.28,EUR
100,9000000028,F2,CUS000163,20230926,178450.24,EUR
100,9000000029,F2,CUS000180,20240607,92547.0,EUR
100,9000000030,F2,CUS000022,20230223,126137.4,EUR
100,9000000031,F2,CUS000113,20220826,57965.11,EUR
100,9000000032,F2,CUS000183,20251112,37665.94,EUR
100,9000000033,F2,CUS000040,20220926,92139.37,EUR
100,9000000034,F2,CUS000048,20241201,67431.01,EUR
100,9000000035,F2,CUS000103,20221019,32685.56,EUR
100,9000000036,F2,CUS000079,20241228,22424.31,EUR
100,9000000037,F2,CUS000111,20220810,9920.16,EUR
100,9000000038,F2,CUS000093,20231115,69635.72,EUR
100,9000000039,F2,CUS000129,20241227,151594.82,EUR
100,9000000040,F2,CUS000147,20221204,136844.97,EUR
100,9000000041,F2,CUS000146,20230207,16440.84,EUR
100,9000000042,F2,CUS000028,20220204,87233.46,EUR
100,9000000043,F2,CUS000006,20220915,161568.5,EUR
100,9000000044,F2,CUS000039,20250603,35376.05,EUR
100,9000000045,F2,CUS000074,20250721,14629.38,EUR
100,9000000046,F2,CUS000018,20240915,28316.76,EUR
100,9000000048,F2,CUS000022,20240314,65295.08,EUR
100,9000000049,F2,CUS000063,20240524,63978.32,EUR
100,9000000050,F2,CUS000038,20220318,141711.9,EUR
100,9000000051,F2,CUS000004,20251203,94616.68,EUR
100,9000000052,F2,CUS000070,20221203,136697.26,EUR
100,9000000053,F2,CUS000142,20230124,39624.14,EUR
100,9000000054,F2,CUS000129,20240415,9418.5,EUR
100,9000000055,F2,CUS000129,20220729,138739.29,EUR
100,9000000056,F2,CUS000075,20231215,23477.86,EUR
100,9000000057,F2,CUS000023,20250208,77021.6,EUR
100,9000000058,F2,CUS000167,20240706,201076.19,EUR
100,9000000059,F2,CUS000100,20230411,149541.61,EUR
100,9000000060,F2,CUS000154,20220315,59094.85,EUR
100,9000000061,F2,CUS000014,20230128,18524.49,EUR
100,9000000062,F2,CUS000138,20240912,50484.62,EUR
100,9000000063,F2,CUS000068,20240421,136723.0,EUR
100,9000000064,F2,CUS000056,20240219,63935.73,EUR
100,9000000065,F2,CUS000134,20240526,116134.65,EUR
100,9000000066,F2,CUS000051,20220831,83052.03,EUR
100,9000000067,F2,CUS000147,20221229,247896.31,EUR
100,9000000068,F2,CUS000159,20220307,69909.19,EUR
100,9000000069,F2,CUS000054,20240125,94547.95,EUR
100,9000000071,F2,CUS000111,20241011,116356.11,EUR
100,9000000072,F2,CUS000038,20240212,104366.71,EUR
100,9000000073,F2,CUS000082,20240622,25290.01,EUR
100,9000000074,F2,CUS000107,20220729,82710.31,EUR
100,9000000075,F2,CUS000083,20220821,111378.94,EUR
100,9000000076,F2,CUS000115,20250808,89395.64,EUR
100,9000000077,F2,CUS000099,20240827,6155.6,EUR
