MANDT,VBELN,POSNR,MATNR,FKIMG,VRKME,NETWR
100,9000000001,000010,MAT000474,3560,ST,73336.0
100,9000000001,000020,MAT000066,2469,ST,60885.54
100,9000000002,000010,MAT000421,4974,ST,82120.74
100,9000000002,000020,MAT000152,44,ST,711.48
100,9000000003,000010,MAT000440,593,ST,15251.96
100,9000000003,000020,MAT000153,3584,ST,85765.12
100,9000000004,000010,MAT000280,3483,ST,13479.21
100,9000000005,000010,MAT000111,2150,ST,27025.5
100,9000000006,000010,MAT000070,3158,ST,69665.48
100,9000000007,000010,MAT000216,4111,ST,101048.38
100,9000000007,000020,MAT000069,905,ST,9466.3
100,9000000008,000010,MAT000135,4038,ST,106845.48
100,9000000008,000020,MAT000312,1407,ST,20429.64
100,9000000009,000010,MAT000150,1656,ST,30636.0
100,9000000009,000020,MAT000294,3620,ST,47096.2
100,9000000009,000030,MAT000211,712,ST,8002.88
100,9000000009,000040,MAT000355,3984,ST,16732.8
100,9000000010,000010,MAT000011,803,ST,8961.48
100,9000000010,000020,MAT000195,3990,ST,60608.1
100,9000000010,000030,MAT000249,2592,ST,65940.48
100,9000000011,000010,MAT000290,1147,ST,12433.48
100,9000000012,000010,MAT000354,4228,ST,45239.6
100,9000000012,000020,MAT000231,146,ST,979.66
100,9000000012,000030,MAT000358,3288,ST,19728.0
100,9000000013,000010,MAT000280,2417,ST,34587.27
100,9000000013,000020,MAT000375,270,ST,5605.2
100,9000000013,000030,MAT000347,1386,ST,27331.92
100,9000000013,000040,MAT000168,1406,ST,3163.5
100,9000000014,000010,MAT000200,1815,ST,41019.0
100,9000000014,000020,MAT000104,4388,ST,74815.4
100,9000000014,000030,MAT000174,4728,ST,104630.64
100,9000000014,000040,MAT000275,4613,ST,101393.74
100,9000000015,000010,MAT000451,1551,ST,41148.03
100,9000000015,000020,MAT000275,4736,ST,37224.96
100,9000000016,000010,MAT000427,3928,ST,60648.32
100,9000000016,000020,MAT000016,2739,ST,19474.29
100,9000000016,000030,MAT000174,440,ST,6133.6
100,9000000016,000040,MAT000122,186,ST,4982.94
100,9000000016,000050,MAT000282,3213,ST,76854.96
100,9000000017,000010,MAT000231,4764,ST,113954.88
100,9000000018,000010,MAT000111,1728,ST,48142.08
100,9000000018,000020,MAT000428,845,ST,22434.75
100,9000000019,000010,MAT000354,1481,ST,12736.6
100,9000000019,000020,MAT000113,3319,ST,89115.15
100,9000000020,000010,MAT000069,3808,ST,74941.44
100,9000000020,000020,MAT000266,105,ST,2159.85
100,9000000020,000030,MAT000376,1852,ST,36225.12
100,9000000021,000010,MAT000433,4425,ST,47347.5
100,9000000021,000020,MAT000086,1490,ST,17090.3
100,9000000023,000010,MAT000258,4975,ST,120544.25
100,9000000023,000020,MAT000010,1550,ST,44066.5
100,9000000024,000010,MAT000310,619,ST,4345.38
100,9000000024,000020,MAT000343,692,ST,4103.56
100,9000000024,000030,MAT000166,588,ST,12589.08
100,9000000025,000010,MAT000117,2601,ST,63438.39
100,9000000026,000010,MAT000416,3342,ST,82246.62
100,9000000026,000020,MAT000197,1208,ST,29221.52
100,9000000027,000010,MAT000293,3916,ST,101346.08
100,9000000027,000020,MAT000095,1178,ST,5571.94
100,9000000027,000030,MAT000266,2050,ST,18019.5
100,9000000027,000040,MAT000347,4124,ST,57694.76
100,9000000028,000010,MAT000219,3340,ST,72912.2
100,9000000028,000020,MAT000070,1362,ST,20089.5
100,9000000028,000030,MAT000003,3483,ST,77705.73
100,9000000028,000040,MAT000411,1031,ST,7742.81
100,9000000029,000010,MAT000250,2010,ST,59395.5
100,9000000029,000020,MAT000335,1390,ST,33151.5
100,9000000030,000010,MAT000117,3374,ST,44199.4
100,9000000030,000020,MAT000174,3865,ST,81938.0
100,9000000031,000010,MAT000324,1335,ST,25805.55
100,9000000031,000020,MAT000154,916,ST,5752.48
100,9000000031,000030,MAT000009,1323,ST,26407.08
100,9000000032,000010,MAT000290,4121,ST,37665.94
100,9000000033,000010,MAT000004,1947,ST,44547.36
100,9000000033,000020,MAT000315,3943,ST,47592.01
100,9000000034,000010,MAT000083,2168,ST,42969.76
100,9000000034,000020,MAT000077,4125,ST,24461.25
100,9000000035,000010,MAT000153,1207,ST,32685.56
100,9000000036,000010,MAT000176,1826,ST,11503.8
100,9000000036,000020,MAT000216,911,ST,4928.51
100,9000000036,000030,MAT000013,1498,ST,5992.0
100,9000000037,000010,MAT000365,2988,ST,9920.16
100,9000000038,000010,MAT000262,4834,ST,33983.02
100,9000000038,000020,MAT000280,724,ST,2787.4
100,9000000038,000030,MAT000152,1590,ST,32865.3
100,9000000039,000010,MAT000125,4918,ST,57491.42
