MANDT,VBELN,GBSTK,LFSTK
100,0000000001,C,C
100,0000000002,C,C
100,0000000003,C,C
100,0000000004,C,C
100,0000000005,C,C
100,0000000006,C,C
100,0000000007,C,C
100,0000000008,C,C
100,0000000009,C,C
100,0000000010,C,C
100,0000000011,C,C
100,0000000012,C,C
100,0000000013,C,C
100,0000000014,C,C
100,0000000015,C,C
100,0000000016,C,C
100,0000000017,C,C
100,0000000018,C,C
100,0000000019,C,C
100,0000000020,C,C
100,0000000021,C,C
100,0000000022,C,C
100,0000000023,C,C
100,0000000024,C,C
100,0000000025,C,C
100,0000000026,C,C
100,0000000027,C,C
100,0000000028,C,C
100,0000000029,C,C
100,0000000030,C,C
100,0000000031,C,C
100,0000000032,C,C
100,0000000033,C,C
100,0000000034,C,C
100,0000000035,C,C
100,0000000036,C,C
100,0000000037,C,C
100,0000000038,C,C
100,0000000039,C,C
100,0000000040,C,C
100,0000000041,C,C
100,0000000042,C,C
100,0000000043,C,C
100,0000000044,C,C
100,0000000045,C,C
100,0000000046,C,C
100,0000000047,C,C
100,0000000048,C,C
100,0000000049,C,C
100,0000000050,C,C
100,0000000051,C,C
100,0000000052,C,C
100,0000000053,C,C
100,0000000054,C,C
100,0000000055,C,C
100,0000000056,C,C
100,0000000057,C,C
100,0000000058,C,C
100,0000000059,C,C
100,0000000060,C,C
100,0000000061,C,C
100,0000000062,C,C
100,0000000063,C,C
100,0000000064,C,C
100,0000000065,C,C
100,0000000066,C,C
100,0000000067,C,C
100,0000000068,C,C
100,0000000069,C,C
100,0000000070,C,C
100,0000000071,C,C
100,0000000072,C,C
100,0000000073,C,C
100,0000000074,C,C
100,0000000075,C,C
100,0000000076,C,C
100,0000000077,C,C
100,0000000078,C,C
100,0000000079,C,C
100,0000000080,C,C
100,0000000081,C,C
100,0000000082,C,C
100,0000000083,C,C
100,0000000084,C,C
100,0000000085,C,C
100,0000000086,C,C
100,0000000087,C,C
100,0000000088,C,C
100,0000000089,C,C
100,0000000090,C,C
100,0000000091,C,C
100,0000000092,C,C
100,0000000093,C,C
100,0000000094,C,C
100,0000000095,C,C
100,0000000096,C,C
100,0000000097,C,C
100,0000000098,C,C
100,0000000099,C,C
100,0000000100,C,C
100,0000000101,C,C
100,0000000102,C,C
100,0000000103,C,C
100,0000000104,C,C
100,0000000105,C,C
100,0000000106,C,C
100,0000000107,C,C
100,0000000108,C,C
100,0000000109,C,C
100,0000000110,C,C
100,0000000111,C,C
100,0000000112,C,C
100,0000000113,C,C
100,0000000114,C,C
100,0000000115,C,C
100,0000000116,C,C
100,0000000117,C,C
100,0000000118,C,C
100,0000000119,C,C
100,0000000120,C,C
100,0000000121,C,C
100,0000000122,C,C
100,0000000123,C,C
100,0000000124,C,C
100,0000000125,C,C
100,0000000126,C,C
100,0000000127,C,C
100,0000000128,C,C
100,0000000129,C,C
100,0000000130,C,C
100,0000000131,C,C
100,0000000132,C,C
100,0000000133,C,C
100,0000000134,C,C
100,0000000135,C,C
100,0000000136,C,C
100,0000000137,C,C
100,0000000138,C,C
100,0000000139,C,C
100,0000000140,C,C
100,0000000141,C,C
100,0000000142,C,C
100,0000000143,C,C
100,0000000144,C,C
100,0000000145,C,C
