MANDT,VBELN,POSNR,GBSTA,LFSTA
100,0000000001,000010,C,C
100,0000000001,000020,C,C
100,0000000001,000030,C,C
100,0000000001,000040,C,C
100,0000000002,000010,C,C
100,0000000002,000020,C,C
100,0000000002,000030,C,C
100,0000000003,000010,C,C
100,0000000003,000020,C,C
100,0000000004,000010,C,C
100,0000000004,000020,C,C
100,0000000005,000010,C,C
100,0000000005,000020,C,C
100,0000000006,000010,C,C
100,0000000006,000020,C,C
100,0000000006,000030,C,C
100,0000000007,000010,C,C
100,0000000007,000020,C,C
100,0000000008,000010,C,C
100,0000000008,000020,C,C
100,0000000009,000010,C,C
100,0000000009,000020,C,C
100,0000000010,000010,C,C
100,0000000010,000020,C,C
100,0000000010,000030,C,C
100,0000000010,000040,C,C
100,0000000011,000010,C,C
100,0000000011,000020,C,C
100,0000000011,000030,C,C
100,0000000012,000010,C,C
100,0000000012,000020,C,C
100,0000000013,000010,C,C
100,0000000013,000020,C,C
100,0000000013,000030,C,C
100,0000000013,000040,C,C
100,0000000014,000010,C,C
100,0000000014,000020,C,C
100,0000000014,000030,C,C
100,0000000014,000040,C,C
100,0000000015,000010,C,C
100,0000000015,000020,C,C
100,0000000016,000010,C,C
100,0000000016,000020,C,C
100,0000000017,000010,C,C
100,0000000017,000020,C,C
100,0000000017,000030,C,C
100,0000000018,000010,C,C
100,0000000018,000020,C,C
100,0000000018,000030,C,C
100,0000000019,000010,C,C
100,0000000019,000020,C,C
100,0000000020,000010,C,C
100,0000000020,000020,C,C
100,0000000020,000030,C,C
100,0000000020,000040,C,C
100,0000000021,000010,C,C
100,0000000021,000020,C,C
100,0000000021,000030,C,C
100,0000000021,000040,C,C
100,0000000022,000010,C,C
100,0000000022,000020,C,C
100,0000000023,000010,C,C
100,0000000023,000020,C,C
100,0000000023,000030,C,C
100,0000000023,000040,C,C
100,0000000024,000010,C,C
100,0000000024,000020,C,C
100,0000000024,000030,C,C
100,0000000025,000010,C,C
100,0000000025,000020,C,C
100,0000000025,000030,C,C
100,0000000025,000040,C,C
100,0000000026,000010,C,C
100,0000000026,000020,C,C
100,0000000027,000010,C,C
100,0000000027,000020,C,C
100,0000000027,000030,C,C
100,0000000027,000040,C,C
100,0000000028,000010,C,C
100,0000000028,000020,C,C
100,0000000028,000030,C,C
100,0000000028,000040,C,C
100,0000000029,000010,C,C
100,0000000029,000020,C,C
100,0000000030,000010,C,C
100,0000000030,000020,C,C
100,0000000030,000030,C,C
100,0000000031,000010,C,C
100,0000000031,000020,C,C
100,0000000032,000010,C,C
100,0000000032,000020,C,C
100,0000000032,000030,C,C
100,0000000032,000040,C,C
100,0000000033,000010,C,C
100,0000000033,000020,C,C
100,0000000033,000030,C,C
100,0000000034,000010,C,C
100,0000000034,000020,C,C
100,0000000034,000030,C,C
100,0000000034,000040,C,C
100,0000000035,000010,C,C
100,0000000035,000020,C,C
100,0000000035,000030,C,C
100,0000000036,000010,C,C
100,0000000036,000020,C,C
100,0000000036,000030,C,C
100,0000000036,000040,C,C
100,0000000037,000010,C,C
100,0000000037,000020,C,C
100,0000000037,000030,C,C
100,0000000037,000040,C,C
100,0000000038,000010,C,C
100,0000000038,000020,C,C
100,0000000039,000010,C,C
100,0000000039,000020,C,C
100,0000000039,000030,C,C
100,0000000039,000040,C,C
100,0000000040,000010,C,C
100,0000000040,000020,C,C
100,0000000040,000030,C,C
100,0000000040,000040,C,C
100,0000000041,000010,C,C
100,0000000041,000020,C,C
100,0000000041,000030,C,C
100,0000000041,000040,C,C
100,0000000042,000010,C,C
100,0000000042,000020,C,C
100,0000000043,000010,C,C
100,0000000043,000020,C,C
100,0000000043,000030,C,C
100,0000000043,000040,C,C
100,0000000044,000010,C,C
100,0000000044,000020,C,C
100,0000000045,000010,C,C
100,0000000045,000020,C,C
100,0000000045,000030,C,C
100,0000000045,000040,C,C
100,0000000046,000010,C,C
100,0000000046,000020,C,C
100,0000000047,000010,C,C
100,0000000047,000020,C,C
100,0000000047,000030,C,C
100,0000000047,000040,C,C
100,0000000048,000010,C,C
100,0000000048,000020,C,C
100,0000000048,000030,C,C
100,0000000049,000010,C,C
100,0000000049,000020,C,C
100,0000000049,000030,C,C
100,0000000050,000010,C,C
100,0000000050,000020,C,C
100,0000000050,000030,C,C
100,0000000051,000010,C,C
100,0000000051,000020,C,C
100,0000000051,000030,C,C
100,0000000052,000010,C,C
100,0000000052,000020,C,C
100,0000000052,000030,C,C
100,0000000053,000010,C,C
100,0000000053,000020,C,C
100,0000000054,000010,C,C
100,0000000054,000020,C,C
100,0000000055,000010,C,C
100,0000000055,000020,C,C
100,0000000056,000010,C,C
100,0000000056,000020,C,C
100,0000000057,000010,C,C
100,0000000057,000020,C,C
100,0000000057,000030,C,C
100,0000000058,000010,C,C
100,0000000058,000020,C,C
100,0000000058,000030,C,C
100,0000000059,000010,C,C
100,0000000059,000020,C,C
100,0000000059,000030,C,C
100,0000000059,000040,C,C
100,0000000060,000010,C,C
100,0000000060,000020,C,C
100,0000000060,000030,C,C
100,0000000060,000040,C,C
100,0000000061,000010,C,C
100,0000000061,000020,C,C
100,0000000061,000030,C,C
100,0000000062,000010,C,C
100,0000000062,000020,C,C
100,0000000063,000010,C,C
100,0000000063,000020,C,C
100,0000000064,000010,C,C
100,0000000064,000020,C,C
100,0000000064,000030,C,C
100,0000000064,000040,C,C
100,0000000065,000010,C,C
100,0000000065,000020,C,C
100,0000000065,000030,C,C
100,0000000065,000040,C,C
100,0000000066,000010,C,C
100,0000000066,000020,C,C
100,0000000066,000030,C,C
100,0000000067,000010,C,C
100,0000000067,000020,C,C
100,0000000067,000030,C,C
100,0000000067,000040,C,C
100,0000000068,000010,C,C
100,0000000068,000020,C,C
100,0000000068,000030,C,C
100,0000000069,000010,C,C
100,0000000069,000020,C,C
100,0000000069,000030,C,C
100,0000000070,000010,C,C
100,0000000070,000020,C,C
100,0000000070,000030,C,C
100,0000000071,000010,C,C
