MANDT,TKNUM,VFKNI,KSCHL,KBETR,WAERS
100,0000000001,000001,PR00,379.76,EUR
100,0000000001,000002,K005,343.58,EUR
100,0000000002,000001,PR00,244.86,EUR
100,0000000002,000002,K005,163.32,EUR
100,0000000003,000001,K005,42.84,EUR
100,0000000003,000002,PR00,27.85,EUR
100,0000000004,000001,PR00,294.79,EUR
100,0000000004,000002,K005,421.97,EUR
100,0000000005,000001,K004,192.0,EUR
100,0000000005,000002,K004,467.34,EUR
100,0000000006,000001,K005,387.66,EUR
100,0000000006,000002,K005,270.07,EUR
100,0000000007,000001,K004,497.87,EUR
100,0000000007,000002,K005,258.65,EUR
100,0000000008,000001,K004,484.07,EUR
100,0000000008,000002,K005,312.46,EUR
100,0000000009,000001,K004,350.8,EUR
100,0000000009,000002,K004,284.45,EUR
100,0000000010,000001,K004,340.2,EUR
100,0000000010,000002,K005,324.88,EUR
100,0000000011,000001,K005,332.52,EUR
100,0000000011,000002,K004,472.46,EUR
100,0000000012,000001,K005,499.31,EUR
100,0000000012,000002,PR00,270.03,EUR
100,0000000013,000001,PR00,197.92,EUR
100,0000000013,000002,K004,301.13,EUR
100,0000000014,000001,PR00,393.38,EUR
100,0000000014,000002,K005,18.79,EUR
100,0000000015,000001,PR00,354.49,EUR
100,0000000015,000002,PR00,279.77,EUR
100,0000000016,000001,PR00,483.07,EUR
100,0000000016,000002,K004,284.68,EUR
100,0000000017,000001,PR00,290.0,EUR
100,0000000017,000002,K005,16.62,EUR
100,0000000018,000001,K004,278.17,EUR
100,0000000018,000002,K005,327.86,EUR
100,0000000019,000001,K004,280.53,EUR
100,0000000019,000002,PR00,383.77,EUR
100,0000000020,000001,K005,139.05,EUR
100,0000000020,000002,K005,262.3,EUR
100,0000000021,000001,PR00,397.06,EUR
100,0000000021,000002,K005,435.28,EUR
100,0000000022,000001,K004,46.76,EUR
100,0000000022,000002,PR00,53.8,EUR
100,0000000023,000001,PR00,345.05,EUR
