MANDT,TKNUM,ABESSION,WAESSION,WAERS
100,0000000001,SETTLE0001,2392.36,EUR
100,0000000002,SETTLE0002,3763.0,EUR
100,0000000003,SETTLE0003,2946.2,EUR
100,0000000004,SETTLE0004,729.25,EUR
100,0000000005,SETTLE0005,1214.29,EUR
100,0000000006,SETTLE0006,1505.55,EUR
100,0000000007,SETTLE0007,3165.24,EUR
100,0000000008,SETTLE0008,1956.62,EUR
100,0000000009,SETTLE0009,4880.05,EUR
100,0000000010,SETTLE0010,1176.52,EUR
100,0000000011,SETTLE0011,4130.12,EUR
100,0000000012,SETTLE0012,1157.17,EUR
100,0000000013,SETTLE0013,1881.07,EUR
100,0000000014,SETTLE0014,752.6,EUR
100,0000000015,SETTLE0015,4889.4,EUR
100,0000000016,SETTLE0016,3365.74,EUR
100,0000000017,SETTLE0017,4472.99,EUR
100,0000000018,SETTLE0018,1757.18,EUR
100,0000000019,SETTLE0019,2645.28,EUR
100,0000000020,SETTLE0020,3837.12,EUR
100,0000000021,SETTLE0021,4696.32,EUR
100,0000000022,SETTLE0022,3515.51,EUR
100,0000000023,SETTLE0023,1476.32,EUR
100,0000000024,SETTLE0024,4204.2,EUR
100,0000000025,SETTLE0025,2165.88,EUR
100,0000000026,SETTLE0026,1178.01,EUR
100,0000000027,SETTLE0027,346.2,EUR
100,0000000028,SETTLE0028,1167.39,EUR
100,0000000029,SETTLE0029,4230.95,EUR
100,0000000030,SETTLE0030,2425.06,EUR
100,0000000031,SETTLE0031,1706.55,EUR
100,0000000032,SETTLE0032,2323.77,EUR
100,0000000033,SETTLE0033,4571.4,EUR
100,0000000034,SETTLE0034,4206.68,EUR
100,0000000035,SETTLE0035,2198.89,EUR
100,0000000036,SETTLE0036,2638.0,EUR
100,0000000037,SETTLE0037,2479.84,EUR
100,0000000038,SETTLE0038,1487.36,EUR
100,0000000039,SETTLE0039,3855.26,EUR
100,0000000040,SETTLE0040,244.33,EUR
100,0000000041,SETTLE0041,2861.4,EUR
100,0000000042,SETTLE0042,4133.8,EUR
100,0000000043,SETTLE0043,4643.15,EUR
100,0000000044,SETTLE0044,4557.6,EUR
100,0000000045,SETTLE0045,566.56,EUR
100,0000000046,SETTLE0046,302.98,EUR
100,0000000047,SETTLE0047,2918.78,EUR
100,0000000048,SETTLE0048,3182.61,EUR
100,0000000049,SETTLE0049,1884.22,EUR
100,0000000050,SETTLE0050,2275.59,EUR
100,0000000051,SETTLE0051,462.56,EUR
100,0000000052,SETTLE0052,3739.46,EUR
100,0000000053,SETTLE0053,1984.45,EUR
100,0000000054,SETTLE0054,4623.77,EUR
100,0000000055,SETTLE0055,3625.82,EUR
100,0000000056,SETTLE0056,3217.02,EUR
100,0000000057,SETTLE0057,3683.03,EUR
100,0000000058,SETTLE0058,677.96,EUR
100,0000000059,SETTLE0059,1109.09,EUR
100,0000000060,SETTLE0060,767.15,EUR
100,0000000061,SETTLE0061,4942.71,EUR
100,0000000062,SETTLE0062,3205.99,EUR
100,0000000063,SETTLE0063,4559.7,EUR
100,0000000064,SETTLE0064,2001.91,EUR
100,0000000065,SETTLE0065,2570.01,EUR
100,0000000066,SETTLE0066,864.53,EUR
100,0000000067,SETTLE0067,758.1,EUR
100,0000000068,SETTLE0068,1280.4,EUR
100,0000000069,SETTLE0069,2001.78,EUR
100,0000000070,SETTLE0070,2773.51,EUR
100,0000000071,SETTLE0071,927.33,EUR
100,0000000072,SETTLE0072,4240.91,EUR
100,0000000073,SETTLE0073,3798.91,EUR
100,0000000074,SETTLE0074,2918.2,EUR
100,0000000075,SETTLE0075,3708.14,EUR
100,0000000076,SETTLE0076,3123.38,EUR
100,0000000077,SETTLE0077,3346.95,EUR
100,0000000078,SETTLE0078,4711.05,EUR
100,0000000079,SETTLE0079,4526.7,EUR
100,0000000080,SETTLE0080,2286.36,EUR
100,0000000081,SETTLE0081,2274.59,EUR
100,0000000082,SETTLE0082,2557.9,EUR
100,0000000083,SETTLE0083,1866.64,EUR
100,0000000084,SETTLE0084,1289.2,EUR
100,0000000085,SETTLE0085,3610.83,EUR
100,0000000086,SETTLE0086,4321.02,EUR
100,0000000087,SETTLE0087,2813.41,EUR
100,0000000088,SETTLE0088,4778.32,EUR
100,0000000089,SETTLE0089,4924.76,EUR
100,0000000090,SETTLE0090,4243.69,EUR
100,0000000091,SETTLE0091,1042.62,EUR
100,0000000092,SETTLE0092,1476.66,EUR
100,0000000093,SETTLE0093,1176.11,EUR
100,0000000094,SETTLE0094,2548.01,EUR
100,0000000095,SETTLE0095,2744.09,EUR
100,0000000096,SETTLE0096,1489.12,EUR
100,0000000097,SETTLE0097,4245.01,EUR
100,0000000098,SETTLE0098,2602.44,EUR
100,0000000099,SETTLE0099,3683.01,EUR
100,0000000100,SETTLE0100,732.97,EUR
100,0000000101,SETTLE0101,717.26,EUR
100,0000000102,SETTLE0102,588.55,EUR
100,0000000103,SETTLE0103,1498.42,EUR
100,0000000104,SETTLE0104,2337.86,EUR
100,0000000105,SETTLE0105,1588.91,EUR
100,0000000106,SETTLE0106,232.57,EUR
100,0000000107,SETTLE0107,3315.87,EUR
100,0000000108,SETTLE0108,1787.12,EUR
100,0000000109,SETTLE0109,1712.55,EUR
100,0000000110,SETTLE0110,840.57,EUR
100,0000000111,SETTLE0111,1736.07,EUR
100,0000000112,SETTLE0112,3064.87,EUR
100,0000000113,SETTLE0113,1592.9,EUR
100,0000000114,SETTLE0114,395.67,EUR
100,0000000115,SETTLE0115,4742.7,EUR
100,0000000116,SETTLE0116,4178.95,EUR
100,0000000117,SETTLE0117,4270.82,EUR
100,0000000118,SETTLE0118,3037.73,EUR
100,0000000119,SETTLE0119,4322.11,EUR
100,0000000120,SETTLE0120,2232.07,EUR
100,0000000121,SETTLE0121,4977.26,EUR
100,0000000122,SETTLE0122,3318.98,EUR
100,0000000123,SETTLE0123,1920.93,EUR
100,0000000124,SETTLE0124,3599.48,EUR
100,0000000125,SETTLE0125,4066.03,EUR
100,0000000126,SETTLE0126,3274.66,EUR
100,0000000127,SETTLE0127,2240.24,EUR
100,0000000128,SETTLE0128,2132.29,EUR
100,0000000129,SETTLE0129,4906.31,EUR
100,0000000130,SETTLE0130,3052.2,EUR
100,0000000131,SETTLE0131,2603.68,EUR
100,0000000132,SETTLE0132,1310.7,EUR
100,0000000133,SETTLE0133,4396.26,EUR
100,0000000134,SETTLE0134,3789.87,EUR
100,0000000135,SETTLE0135,1924.51,EUR
100,0000000136,SETTLE0136,195.88,EUR
100,0000000137,SETTLE0137,4713.85,EUR
100,0000000138,SETTLE0138,3721.05,EUR
100,0000000139,SETTLE0139,3474.22,EUR
100,0000000140,SETTLE0140,1676.88,EUR
100,0000000141,SETTLE0141,2191.08,EUR
100,0000000142,SETTLE0142,2863.99,EUR
100,0000000143,SETTLE0143,3103.37,EUR
100,0000000144,SETTLE0144,2381.13,EUR
100,0000000145,SETTLE0145,2086.47,EUR
100,0000000146,SETTLE0146,882.51,EUR
100,0000000147,SETTLE0147,4554.03,EUR
100,0000000148,SETTLE0148,2715.82,EUR
100,0000000149,SETTLE0149,3850.45,EUR
100,0000000150,SETTLE0150,1872.23,EUR
100,0000000151,SETTLE0151,4444.1,EUR
100,0000000152,SETTLE0152,2315.66,EUR
100,0000000153,SETTLE0153,3859.95,EUR
100,0000000154,SETTLE0154,2070.97,EUR
100,0000000155,SETTLE0155,1014.35,EUR
100,0000000156,SETTLE0156,3735.68,EUR
100,0000000157,SETTLE0157,2647.42,EUR
100,0000000158,SETTLE0158,1834.64,EUR
100,0000000159,SETTLE0159,3055.64,EUR
100,0000000160,SETTLE0160,3004.86,EUR
100,0000000161,SETTLE0161,1959.37,EUR
100,0000000162,SETTLE0162,4913.31,EUR
100,0000000163,SETTLE0163,2107.55,EUR
100,0000000164,SETTLE0164,672.91,EUR
100,0000000165,SETTLE0165,1009.03,EUR
100,0000000166,SETTLE0166,745.12,EUR
100,0000000167,SETTLE0167,1140.05,EUR
100,0000000168,SETTLE0168,4849.09,EUR
100,0000000169,SETTLE0169,3208.04,EUR
100,0000000170,SETTLE0170,3364.43,EUR
100,0000000171,SETTLE0171,3313.81,EUR
100,0000000172,SETTLE0172,3410.44,EUR
100,0000000173,SETTLE0173,3815.05,EUR
100,0000000174,SETTLE0174,2445.35,EUR
100,0000000175,SETTLE0175,143.93,EUR
100,0000000176,SETTLE0176,1252.66,EUR
100,0000000177,SETTLE0177,1795.29,EUR
100,0000000178,SETTLE0178,1719.11,EUR
100,0000000179,SETTLE0179,4824.66,EUR
100,0000000180,SETTLE0180,2543.91,EUR
100,0000000181,SETTLE0181,408.55,EUR
100,0000000182,SETTLE0182,177.34,EUR
100,0000000183,SETTLE0183,2861.19,EUR
100,0000000184,SETTLE0184,1347.94,EUR
100,0000000185,SETTLE0185,4949.03,EUR
100,0000000186,SETTLE0186,4180.67,EUR
100,0000000187,SETTLE0187,994.95,EUR
100,0000000188,SETTLE0188,329.03,EUR
100,0000000189,SETTLE0189,1186.75,EUR
100,0000000190,SETTLE0190,1914.57,EUR
100,0000000191,SETTLE0191,4804.81,EUR
100,0000000192,SETTLE0192,4800.21,EUR
100,0000000193,SETTLE0193,2053.12,EUR
100,0000000194,SETTLE0194,736.2,EUR
100,0000000195,SETTLE0195,1851.33,EUR
100,0000000196,SETTLE0196,2966.41,EUR
100,0000000197,SETTLE0197,4224.92,EUR
100,0000000198,SETTLE0198,3380.69,EUR
100,0000000199,SETTLE0199,331.46,EUR
100,0000000200,SETTLE0200,1839.86,EUR
100,0000000201,SETTLE0201,2062.51,EUR
100,0000000202,SETTLE0202,1614.5,EUR
100,0000000203,SETTLE0203,2448.01,EUR
100,0000000204,SETTLE0204,4733.72,EUR
100,0000000205,SETTLE0205,4098.92,EUR
100,0000000206,SETTLE0206,2130.96,EUR
100,0000000207,SETTLE0207,3005.75,EUR
100,0000000208,SETTLE0208,802.72,EUR
100,0000000209,SETTLE0209,1641.68,EUR
100,0000000210,SETTLE0210,4487.43,EUR
100,0000000211,SETTLE0211,2488.1,EUR
100,0000000212,SETTLE0212,3493.26,EUR
100,0000000213,SETTLE0213,2308.12,EUR
100,0000000214,SETTLE0214,4350.15,EUR
100,0000000215,SETTLE0215,4357.43,EUR
100,0000000216,SETTLE0216,2138.92,EUR
100,0000000217,SETTLE0217,1570.71,EUR
100,0000000218,SETTLE0218,658.83,EUR
100,0000000219,SETTLE0219,1436.62,EUR
100,0000000220,SETTLE0220,732.8,EUR
100,0000000221,SETTLE0221,2384.88,EUR
100,0000000222,SETTLE0222,556.83,EUR
100,0000000223,SETTLE0223,1658.39,EUR
100,0000000224,SETTLE0224,927.59,EUR
100,0000000225,SETTLE0225,3667.03,EUR
100,0000000226,SETTLE0226,4317.35,EUR
100,0000000227,SETTLE0227,4657.08,EUR
100,0000000228,SETTLE0228,2126.17,EUR
100,0000000229,SETTLE0229,193.53,EUR
100,0000000230,SETTLE0230,542.43,EUR
100,0000000231,SETTLE0231,3164.31,EUR
100,0000000232,SETTLE0232,2094.73,EUR
100,0000000233,SETTLE0233,4787.78,EUR
100,0000000234,SETTLE0234,3706.81,EUR
100,0000000235,SETTLE0235,2825.91,EUR
100,0000000236,SETTLE0236,3417.63,EUR
100,0000000237,SETTLE0237,801.78,EUR
100,0000000238,SETTLE0238,2031.92,EUR
100,0000000239,SETTLE0239,3481.92,EUR
100,0000000240,SETTLE0240,2023.94,EUR
100,0000000241,SETTLE0241,1536.94,EUR
100,0000000242,SETTLE0242,3558.29,EUR
100,0000000243,SETTLE0243,3886.0,EUR
100,0000000244,SETTLE0244,4707.25,EUR
100,0000000245,SETTLE0245,265.98,EUR
100,0000000246,SETTLE0246,446.15,EUR
100,0000000247,SETTLE0247,3881.27,EUR
100,0000000248,SETTLE0248,4444.72,EUR
100,0000000249,SETTLE0249,2398.07,EUR
100,0000000250,SETTLE0250,3222.97,EUR
100,0000000251,SETTLE0251,3596.48,EUR
100,0000000252,SETTLE0252,638.04,EUR
100,0000000253,SETTLE0253,3326.57,EUR
100,0000000254,SETTLE0254,478.61,EUR
100,0000000255,SETTLE0255,1846.86,EUR
100,0000000256,SETTLE0256,1776.65,EUR
100,0000000257,SETTLE0257,4435.59,EUR
100,0000000258,SETTLE0258,1283.26,EUR
100,0000000259,SETTLE0259,1668.22,EUR
100,0000000260,SETTLE0260,772.57,EUR
100,0000000261,SETTLE0261,4972.33,EUR
100,0000000262,SETTLE0262,427.79,EUR
100,0000000263,SETTLE0263,2971.65,EUR
100,0000000264,SETTLE0264,3324.0,EUR
100,0000000265,SETTLE0265,772.69,EUR
100,0000000266,SETTLE0266,4394.89,EUR
100,0000000267,SETTLE0267,3478.11,EUR
100,0000000268,SETTLE0268,4523.61,EUR
100,0000000269,SETTLE0269,1075.4,EUR
