MANDT,TKNUM,TPNUM,VBELN
100,0000000001,0001,0080000000
100,0000000001,0002,0080000001
100,0000000002,0001,0080000002
100,0000000002,0002,0080000003
100,0000000003,0001,0080000004
100,0000000003,0002,0080000005
100,0000000004,0001,0080000006
100,0000000004,0002,0080000007
100,0000000005,0001,0080000008
100,0000000005,0002,0080000009
100,0000000006,0001,0080000010
100,0000000006,0002,0080000011
100,0000000007,0001,0080000012
100,0000000007,0002,0080000013
100,0000000008,0001,0080000014
100,0000000008,0002,0080000015
100,0000000009,0001,0080000016
100,0000000009,0002,0080000017
100,0000000010,0001,0080000018
100,0000000010,0002,0080000019
100,0000000011,0001,0080000020
100,0000000011,0002,0080000021
100,0000000012,0001,0080000022
100,0000000012,0002,0080000023
100,0000000013,0001,0080000024
100,0000000013,0002,0080000025
100,0000000014,0001,0080000026
100,0000000014,0002,0080000027
100,0000000015,0001,0080000028
100,0000000015,0002,0080000029
100,0000000016,0001,0080000030
100,0000000016,0002,0080000031
100,0000000017,0001,0080000032
100,0000000017,0002,0080000033
100,0000000018,0001,0080000034
100,0000000018,0002,0080000035
100,0000000019,0001,0080000036
100,0000000019,0002,0080000037
100,0000000020,0001,0080000038
100,0000000020,0002,0080000039
100,0000000021,0001,0080000040
100,0000000021,0002,0080000041
100,0000000022,0001,0080000042
100,0000000022,0002,0080000043
100,0000000023,0001,0080000044
100,0000000023,0002,0080000045
100,0000000024,0001,0080000046
100,0000000024,0002,0080000047
100,0000000025,0001,0080000048
100,0000000025,0002,0080000049
100,0000000026,0001,0080000050
100,0000000026,0002,0080000051
100,0000000027,0001,0080000052
100,0000000027,0002,0080000053
100,0000000028,0001,0080000054
100,0000000028,0002,0080000055
100,0000000029,0001,0080000056
100,0000000029,0002,0080000057
100,0000000030,0001,0080000058
100,0000000030,0002,0080000059
100,0000000031,0001,0080000060
100,0000000031,0002,0080000061
100,0000000032,0001,0080000062
100,0000000032,0002,0080000063
100,0000000033,0001,0080000064
100,0000000033,0002,0080000065
100,0000000034,0001,0080000066
100,0000000034,0002,0080000067
100,0000000035,0001,0080000068
100,0000000035,0002,0080000069
100,0000000036,0001,0080000070
100,0000000036,0002,0080000071
100,0000000037,0001,0080000072
100,0000000037,0002,0080000073
100,0000000038,0001,0080000074
100,0000000038,0002,0080000075
100,0000000039,0001,0080000076
100,0000000039,0002,0080000077
100,0000000040,0001,0080000078
100,0000000040,0002,0080000079
100,0000000041,0001,0080000080
100,0000000041,0002,0080000081
100,0000000042,0001,0080000082
100,0000000042,0002,0080000083
100,0000000043,0001,0080000084
100,0000000043,0002,0080000085
100,0000000044,0001,0080000086
100,0000000044,0002,0080000087
100,0000000045,0001,0080000088
100,0000000045,0002,0080000089
100,0000000046,0001,0080000090
100,0000000046,0002,0080000091
100,0000000047,0001,0080000092
100,0000000047,0002,0080000093
100,0000000048,0001,0080000094
100,0000000048,0002,0080000095
100,0000000049,0001,0080000096
100,0000000049,0002,0080000097
100,0000000050,0001,0080000098
100,0000000050,0002,0080000099
100,0000000051,0001,0080000100
100,0000000051,0002,0080000101
100,0000000052,0001,0080000102
100,0000000052,0002,0080000103
100,0000000053,0001,0080000104
100,0000000053,0002,0080000105
100,0000000054,0001,0080000106
100,0000000054,0002,0080000107
100,0000000055,0001,0080000108
100,0000000055,0002,0080000109
100,0000000056,0001,0080000110
100,0000000056,0002,0080000111
100,0000000057,0001,0080000112
100,0000000057,0002,0080000113
100,0000000058,0001,0080000114
100,0000000058,0002,0080000115
100,0000000059,0001,0080000116
100,0000000059,0002,0080000117
100,0000000060,0001,0080000118
100,0000000060,0002,0080000119
100,0000000061,0001,0080000120
100,0000000061,0002,0080000121
100,0000000062,0001,0080000122
100,0000000062,0002,0080000123
100,0000000063,0001,0080000124
100,0000000063,0002,0080000125
100,0000000064,0001,0080000126
100,0000000064,0002,0080000127
100,0000000065,0001,0080000128
100,0000000065,0002,0080000129
100,0000000066,0001,0080000130
100,0000000066,0002,0080000131
100,0000000067,0001,0080000132
100,0000000067,0002,0080000133
100,0000000068,0001,0080000134
100,0000000068,0002,0080000135
100,0000000069,0001,0080000136
100,0000000069,0002,0080000137
100,0000000070,0001,0080000138
100,0000000070,0002,0080000139
100,0000000071,0001,0080000140
100,0000000071,0002,0080000141
100,0000000072,0001,0080000142
100,0000000072,0002,0080000143
100,0000000073,0001,0080000144
100,0000000073,0002,0080000145
100,0000000074,0001,0080000146
100,0000000074,0002,0080000147
100,0000000075,0001,0080000148
100,0000000075,0002,0080000149
100,0000000076,0001,0080000150
100,0000000076,0002,0080000151
100,0000000077,0001,0080000152
100,0000000077,0002,0080000153
100,0000000078,0001,0080000154
100,0000000078,0002,0080000155
100,0000000079,0001,0080000156
100,0000000079,0002,0080000157
100,0000000080,0001,0080000158
100,0000000080,0002,0080000159
100,0000000081,0001,0080000160
100,0000000081,0002,0080000161
100,0000000082,0001,0080000162
100,0000000082,0002,0080000163
100,0000000083,0001,0080000164
100,0000000083,0002,0080000165
100,0000000084,0001,0080000166
100,0000000084,0002,0080000167
100,0000000085,0001,0080000168
100,0000000085,0002,0080000169
100,0000000086,0001,0080000170
100,0000000086,0002,0080000171
100,0000000087,0001,0080000172
100,0000000087,0002,0080000173
100,0000000088,0001,0080000174
100,0000000088,0002,0080000175
100,0000000089,0001,0080000176
100,0000000089,0002,0080000177
100,0000000090,0001,0080000178
100,0000000090,0002,0080000179
100,0000000091,0001,0080000180
100,0000000091,0002,0080000181
100,0000000092,0001,0080000182
100,0000000092,0002,0080000183
100,0000000093,0001,0080000184
100,0000000093,0002,0080000185
100,0000000094,0001,0080000186
100,0000000094,0002,0080000187
100,0000000095,0001,0080000188
100,0000000095,0002,0080000189
100,0000000096,0001,0080000190
100,0000000096,0002,0080000191
100,0000000097,0001,0080000192
100,0000000097,0002,0080000193
100,0000000098,0001,0080000194
100,0000000098,0002,0080000195
100,0000000099,0001,0080000196
100,0000000099,0002,0080000197
100,0000000100,0001,0080000198
100,0000000100,0002,0080000199
100,0000000101,0001,0080000200
100,0000000101,0002,0080000201
100,0000000102,0001,0080000202
100,0000000102,0002,0080000203
100,0000000103,0001,0080000204
100,0000000103,0002,0080000205
100,0000000104,0001,0080000206
100,0000000104,0002,0080000207
100,0000000105,0001,0080000208
100,0000000105,0002,0080000209
100,0000000106,0001,0080000210
100,0000000106,0002,0080000211
100,0000000107,0001,0080000212
100,0000000107,0002,0080000213
100,0000000108,0001,0080000214
100,0000000108,0002,0080000215
100,0000000109,0001,0080000216
100,0000000109,0002,0080000217
100,0000000110,0001,0080000218
100,0000000110,0002,0080000219
100,0000000111,0001,0080000220
100,0000000111,0002,0080000221
100,0000000112,0001,0080000222
100,0000000112,0002,0080000223
100,0000000113,0001,0080000224
100,0000000113,0002,0080000225
100,0000000114,0001,0080000226
100,0000000114,0002,0080000227
100,0000000115,0001,0080000228
100,0000000115,0002,0080000229
100,0000000116,0001,0080000230
100,0000000116,0002,0080000231
100,0000000117,0001,0080000232
100,0000000117,0002,0080000233
100,0000000118,0001,0080000234
100,0000000118,0002,0080000235
100,0000000119,0001,0080000236
100,0000000119,0002,0080000237
100,0000000120,0001,0080000238
100,0000000120,0002,0080000239
100,0000000121,0001,0080000240
100,0000000121,0002,0080000241
100,0000000122,0001,0080000242
100,0000000122,0002,0080000243
100,0000000123,0001,0080000244
100,0000000123,0002,0080000245
100,0000000124,0001,0080000246
100,0000000124,0002,0080000247
100,0000000125,0001,0080000248
100,0000000125,0002,0080000249
100,0000000126,0001,0080000250
100,0000000126,0002,0080000251
100,0000000127,0001,0080000252
100,0000000127,0002,0080000253
100,0000000128,0001,0080000254
100,0000000128,0002,0080000255
100,0000000129,0001,0080000256
100,0000000129,0002,0080000257
100,0000000130,0001,0080000258
100,0000000130,0002,0080000259
100,0000000131,0001,0080000260
100,0000000131,0002,0080000261
100,0000000132,0001,0080000262
100,0000000132,0002,0080000263
100,0000000133,0001,0080000264
100,0000000133,0002,0080000265
100,0000000134,0001,0080000266
100,0000000134,0002,0080000267
100,0000000135,0001,0080000268
100,0000000135,0002,0080000269
100,0000000136,0001,0080000270
100,0000000136,0002,0080000271
100,0000000137,0001,0080000272
100,0000000137,0002,0080000273
100,0000000138,0001,0080000274
100,0000000138,0002,0080000275
100,0000000139,0001,0080000276
100,0000000139,0002,0080000277
100,0000000140,0001,0080000278
100,0000000140,0002,0080000279
100,0000000141,0001,0080000280
100,0000000141,0002,0080000281
100,0000000142,0001,0080000282
100,0000000142,0002,0080000283
100,0000000143,0001,0080000284
100,0000000143,0002,0080000285
100,0000000144,0001,0080000286
100,0000000144,0002,0080000287
100,0000000145,0001,0080000288
100,0000000145,0002,0080000289
100,0000000146,0001,0080000290
100,0000000146,0002,0080000291
100,0000000147,0001,0080000292
100,0000000147,0002,0080000293
100,0000000148,0001,0080000294
100,0000000148,0002,0080000295
100,0000000149,0001,0080000296
100,0000000149,0002,0080000297
100,0000000150,0001,0080000298
100,0000000150,0002,0080000299
100,0000000151,0001,0080000300
100,0000000151,0002,0080000301
100,0000000152,0001,0080000302
100,0000000152,0002,0080000303
100,0000000153,0001,0080000304
100,0000000153,0002,0080000305
100,0000000154,0001,0080000306
100,0000000154,0002,0080000307
100,0000000155,0001,0080000308
100,0000000155,0002,0080000309
100,0000000156,0001,0080000310
100,0000000156,0002,0080000311
100,0000000157,0001,0080000312
100,0000000157,0002,0080000313
100,0000000158,0001,0080000314
100,0000000158,0002,0080000315
100,0000000159,0001,0080000316
100,0000000159,0002,0080000317
100,0000000160,0001,0080000318
100,0000000160,0002,0080000319
100,0000000161,0001,0080000320
100,0000000161,0002,0080000321
100,0000000162,0001,0080000322
100,0000000162,0002,0080000323
100,0000000163,0001,0080000324
100,0000000163,0002,0080000325
100,0000000164,0001,0080000326
100,0000000164,0002,0080000327
100,0000000165,0001,0080000328
100,0000000165,0002,0080000329
100,0000000166,0001,0080000330
100,0000000166,0002,0080000331
100,0000000167,0001,0080000332
100,0000000167,0002,0080000333
100,0000000168,0001,0080000334
100,0000000168,0002,0080000335
100,0000000169,0001,0080000336
100,0000000169,0002,0080000337
100,0000000170,0001,0080000338
100,0000000170,0002,0080000339
100,0000000171,0001,0080000340
100,0000000171,0002,0080000341
100,0000000172,0001,0080000342
100,0000000172,0002,0080000343
100,0000000173,0001,0080000344
100,0000000173,0002,0080000345
100,0000000174,0001,0080000346
100,0000000174,0002,0080000347
100,0000000175,0001,0080000348
100,0000000175,0002,0080000349
100,0000000176,0001,0080000350
100,0000000176,0002,0080000351
100,0000000177,0001,0080000352
100,0000000177,0002,0080000353
100,0000000178,0001,0080000354
100,0000000178,0002,0080000355
100,0000000179,0001,0080000356
100,0000000179,0002,0080000357
100,0000000180,0001,0080000358
100,0000000180,0002,0080000359
100,0000000181,0001,0080000360
100,0000000181,0002,0080000361
100,0000000182,0001,0080000362
100,0000000182,0002,0080000363
100,0000000183,0001,0080000364
100,0000000183,0002,0080000365
100,0000000184,0001,0080000366
100,0000000184,0002,0080000367
100,0000000185,0001,0080000368
100,0000000185,0002,0080000369
100,0000000186,0001,0080000370
100,0000000186,0002,0080000371
100,0000000187,0001,0080000372
100,0000000187,0002,0080000373
100,0000000188,0001,0080000374
100,0000000188,0002,0080000375
100,0000000189,0001,0080000376
100,0000000189,0002,0080000377
100,0000000190,0001,0080000378
100,0000000190,0002,0080000379
100,0000000191,0001,0080000380
100,0000000191,0002,0080000381
100,0000000192,0001,0080000382
100,0000000192,0002,0080000383
100,0000000193,0001,0080000384
100,0000000193,0002,0080000385
100,0000000194,0001,0080000386
100,0000000194,0002,0080000387
100,0000000195,0001,0080000388
100,0000000195,0002,0080000389
100,0000000196,0001,0080000390
100,0000000196,0002,0080000391
100,0000000197,0001,0080000392
100,0000000197,0002,0080000393
100,0000000198,0001,0080000394
100,0000000198,0002,0080000395
100,0000000199,0001,0080000396
100,0000000199,0002,0080000397
100,0000000200,0001,0080000398
100,0000000200,0002,0080000399
100,0000000201,0001,0080000400
100,0000000201,0002,0080000401
100,0000000202,0001,0080000402
100,0000000202,0002,0080000403
100,0000000203,0001,0080000404
100,0000000203,0002,0080000405
100,0000000204,0001,0080000406
100,0000000204,0002,0080000407
100,0000000205,0001,0080000408
100,0000000205,0002,0080000409
100,0000000206,0001,0080000410
100,0000000206,0002,0080000411
100,0000000207,0001,0080000412
100,0000000207,0002,0080000413
100,0000000208,0001,0080000414
100,0000000208,0002,0080000415
100,0000000209,0001,0080000416
100,0000000209,0002,0080000417
100,0000000210,0001,0080000418
100,0000000210,0002,0080000419
100,0000000211,0001,0080000420
100,0000000211,0002,0080000421
100,0000000212,0001,0080000422
100,0000000212,0002,0080000423
100,0000000213,0001,0080000424
100,0000000213,0002,0080000425
100,0000000214,0001,0080000426
100,0000000214,0002,0080000427
100,0000000215,0001,0080000428
100,0000000215,0002,0080000429
100,0000000216,0001,0080000430
100,0000000216,0002,0080000431
100,0000000217,0001,0080000432
100,0000000217,0002,0080000433
100,0000000218,0001,0080000434
100,0000000218,0002,0080000435
100,0000000219,0001,0080000436
100,0000000219,0002,0080000437
100,0000000220,0001,0080000438
100,0000000220,0002,0080000439
100,0000000221,0001,0080000440
100,0000000221,0002,0080000441
100,0000000222,0001,0080000442
100,0000000222,0002,0080000443
100,0000000223,0001,0080000444
100,0000000223,0002,0080000445
100,0000000224,0001,0080000446
100,0000000224,0002,0080000447
100,0000000225,0001,0080000448
100,0000000225,0002,0080000449
100,0000000226,0001,0080000450
100,0000000226,0002,0080000451
100,0000000227,0001,0080000452
100,0000000227,0002,0080000453
100,0000000228,0001,0080000454
100,0000000228,0002,0080000455
100,0000000229,0001,0080000456
100,0000000229,0002,0080000457
100,0000000230,0001,0080000458
100,0000000230,0002,0080000459
100,0000000231,0001,0080000460
100,0000000231,0002,0080000461
100,0000000232,0001,0080000462
100,0000000232,0002,0080000463
100,0000000233,0001,0080000464
100,0000000233,0002,0080000465
100,0000000234,0001,0080000466
100,0000000234,0002,0080000467
100,0000000235,0001,0080000468
100,0000000235,0002,0080000469
100,0000000236,0001,0080000470
100,0000000236,0002,0080000471
100,0000000237,0001,0080000472
100,0000000237,0002,0080000473
100,0000000238,0001,0080000474
100,0000000238,0002,0080000475
100,0000000239,0001,0080000476
100,0000000239,0002,0080000477
100,0000000240,0001,0080000478
100,0000000240,0002,0080000479
100,0000000241,0001,0080000480
100,0000000241,0002,0080000481
100,0000000242,0001,0080000482
100,0000000242,0002,0080000483
100,0000000243,0001,0080000484
100,0000000243,0002,0080000485
100,0000000244,0001,0080000486
100,0000000244,0002,0080000487
100,0000000245,0001,0080000488
100,0000000245,0002,0080000489
100,0000000246,0001,0080000490
100,0000000246,0002,0080000491
100,0000000247,0001,0080000492
100,0000000247,0002,0080000493
100,0000000248,0001,0080000494
100,0000000248,0002,0080000495
100,0000000249,0001,0080000496
100,0000000249,0002,0080000497
100,0000000250,0001,0080000498
100,0000000250,0002,0080000499
100,0000000251,0001,0080000500
100,0000000251,0002,0080000501
100,0000000252,0001,0080000502
100,0000000252,0002,0080000503
100,0000000253,0001,0080000504
100,0000000253,0002,0080000505
100,0000000254,0001,0080000506
100,0000000254,0002,0080000507
100,0000000255,0001,0080000508
100,0000000255,0002,0080000509
100,0000000256,0001,0080000510
100,0000000256,0002,0080000511
100,0000000257,0001,0080000512
100,0000000257,0002,0080000513
100,0000000258,0001,0080000514
100,0000000258,0002,0080000515
100,0000000259,0001,0080000516
100,0000000259,0002,0080000517
100,0000000260,0001,0080000518
100,0000000260,0002,0080000519
100,0000000261,0001,0080000520
100,0000000261,0002,0080000521
100,0000000262,0001,0080000522
100,0000000262,0002,0080000523
100,0000000263,0001,0080000524
100,0000000263,0002,0080000525
100,0000000264,0001,0080000526
100,0000000264,0002,0080000527
100,0000000265,0001,0080000528
100,0000000265,0002,0080000529
100,0000000266,0001,0080000530
100,0000000266,0002,0080000531
100,0000000267,0001,0080000532
100,0000000267,0002,0080000533
100,0000000268,0001,0080000534
100,0000000268,0002,0080000535
100,0000000269,0001,0080000536
100,0000000269,0002,0080000537
100,0000000270,0001,0080000538
100,0000000270,0002,0080000539
100,0000000271,0001,0080000540
100,0000000271,0002,0080000541
100,0000000272,0001,0080000542
100,0000000272,0002,0080000543
100,0000000273,0001,0080000544
100,0000000273,0002,0080000545
100,0000000274,0001,0080000546
100,0000000274,0002,0080000547
100,0000000275,0001,0080000548
100,0000000275,0002,0080000549
100,0000000276,0001,0080000550
100,0000000276,0002,0080000551
100,0000000277,0001,0080000552
100,0000000277,0002,0080000553
100,0000000278,0001,0080000554
100,0000000278,0002,0080000555
100,0000000279,0001,0080000556
100,0000000279,0002,0080000557
100,0000000280,0001,0080000558
100,0000000280,0002,0080000559
100,0000000281,0001,0080000560
100,0000000281,0002,0080000561
100,0000000282,0001,0080000562
100,0000000282,0002,0080000563
100,0000000283,0001,0080000564
100,0000000283,0002,0080000565
100,0000000284,0001,0080000566
100,0000000284,0002,0080000567
100,0000000285,0001,0080000568
100,0000000285,0002,0080000569
100,0000000286,0001,0080000570
100,0000000286,0002,0080000571
100,0000000287,0001,0080000572
100,0000000287,0002,0080000573
100,0000000288,0001,0080000574
100,0000000288,0002,0080000575
100,0000000289,0001,0080000576
100,0000000289,0002,0080000577
100,0000000290,0001,0080000578
100,0000000290,0002,0080000579
100,0000000291,0001,0080000580
100,0000000291,0002,0080000581
100,0000000292,0001,0080000582
100,0000000292,0002,0080000583
100,0000000293,0001,0080000584
100,0000000293,0002,0080000585
100,0000000294,0001,0080000586
100,0000000294,0002,0080000587
100,0000000295,0001,0080000588
100,0000000295,0002,0080000589
100,0000000296,0001,0080000590
100,0000000296,0002,0080000591
100,0000000297,0001,0080000592
100,0000000297,0002,0080000593
100,0000000298,0001,0080000594
100,0000000298,0002,0080000595
100,0000000299,0001,0080000596
100,0000000299,0002,0080000597
100,0000000300,0001,0080000598
100,0000000300,0002,0080000599
100,0000000301,0001,0080000600
100,0000000301,0002,0080000601
100,0000000302,0001,0080000602
100,0000000302,0002,0080000603
100,0000000303,0001,0080000604
100,0000000303,0002,0080000605
100,0000000304,0001,0080000606
100,0000000304,0002,0080000607
100,0000000305,0001,0080000608
100,0000000305,0002,0080000609
100,0000000306,0001,0080000610
100,0000000306,0002,0080000611
100,0000000307,0001,0080000612
100,0000000307,0002,0080000613
100,0000000308,0001,0080000614
100,0000000308,0002,0080000615
100,0000000309,0001,0080000616
100,0000000309,0002,0080000617
100,0000000310,0001,0080000618
100,0000000310,0002,0080000619
100,0000000311,0001,0080000620
100,0000000311,0002,0080000621
100,0000000312,0001,0080000622
100,0000000312,0002,0080000623
100,0000000313,0001,0080000624
100,0000000313,0002,0080000625
100,0000000314,0001,0080000626
100,0000000314,0002,0080000627
100,0000000315,0001,0080000628
100,0000000315,0002,0080000629
100,0000000316,0001,0080000630
100,0000000316,0002,0080000631
100,0000000317,0001,0080000632
100,0000000317,0002,0080000633
100,0000000318,0001,0080000634
100,0000000318,0002,0080000635
100,0000000319,0001,0080000636
100,0000000319,0002,0080000637
100,0000000320,0001,0080000638
100,0000000320,0002,0080000639
100,0000000321,0001,0080000640
100,0000000321,0002,0080000641
100,0000000322,0001,0080000642
100,0000000322,0002,0080000643
100,0000000323,0001,0080000644
100,0000000323,0002,0080000645
100,0000000324,0001,0080000646
100,0000000324,0002,0080000647
100,0000000325,0001,0080000648
100,0000000325,0002,0080000649
100,0000000326,0001,0080000650
100,0000000326,0002,0080000651
100,0000000327,0001,0080000652
100,0000000327,0002,0080000653
100,0000000328,0001,0080000654
100,0000000328,0002,0080000655
100,0000000329,0001,0080000656
100,0000000329,0002,0080000657
100,0000000330,0001,0080000658
100,0000000330,0002,0080000659
100,0000000331,0001,0080000660
100,0000000331,0002,0080000661
100,0000000332,0001,0080000662
100,0000000332,0002,0080000663
100,0000000333,0001,0080000664
100,0000000333,0002,0080000665
100,0000000334,0001,0080000666
100,0000000334,0002,0080000667
100,0000000335,0001,0080000668
100,0000000335,0002,0080000669
100,0000000336,0001,0080000670
100,0000000336,0002,0080000671
100,0000000337,0001,0080000672
100,0000000337,0002,0080000673
100,0000000338,0001,0080000674
100,0000000338,0002,0080000675
100,0000000339,0001,0080000676
100,0000000339,0002,0080000677
100,0000000340,0001,0080000678
100,0000000340,0002,0080000679
100,0000000341,0001,0080000680
100,0000000341,0002,0080000681
100,0000000342,0001,0080000682
100,0000000342,0002,0080000683
100,0000000343,0001,0080000684
100,0000000343,0002,0080000685
100,0000000344,0001,0080000686
100,0000000344,0002,0080000687
100,0000000345,0001,0080000688
100,0000000345,0002,0080000689
100,0000000346,0001,0080000690
100,0000000346,0002,0080000691
100,0000000347,0001,0080000692
100,0000000347,0002,0080000693
100,0000000348,0001,0080000694
100,0000000348,0002,0080000695
100,0000000349,0001,0080000696
100,0000000349,0002,0080000697
100,0000000350,0001,0080000698
100,0000000350,0002,0080000699
100,0000000351,0001,0080000700
100,0000000351,0002,0080000701
100,0000000352,0001,0080000702
100,0000000352,0002,0080000703
100,0000000353,0001,0080000704
100,0000000353,0002,0080000705
100,0000000354,0001,0080000706
100,0000000354,0002,0080000707
100,0000000355,0001,0080000708
100,0000000355,0002,0080000709
100,0000000356,0001,0080000710
100,0000000356,0002,0080000711
100,0000000357,0001,0080000712
100,0000000357,0002,0080000713
100,0000000358,0001,0080000714
100,0000000358,0002,0080000715
100,0000000359,0001,0080000716
100,0000000359,0002,0080000717
100,0000000360,0001,0080000718
100,0000000360,0002,0080000719
100,0000000361,0001,0080000720
100,0000000361,0002,0080000721
100,0000000362,0001,0080000722
100,0000000362,0002,0080000723
100,0000000363,0001,0080000724
100,0000000363,0002,0080000725
100,0000000364,0001,0080000726
100,0000000364,0002,0080000727
100,0000000365,0001,0080000728
100,0000000365,0002,0080000729
100,0000000366,0001,0080000730
100,0000000366,0002,0080000731
100,0000000367,0001,0080000732
100,0000000367,0002,0080000733
100,0000000368,0001,0080000734
100,0000000368,0002,0080000735
100,0000000369,0001,0080000736
100,0000000369,0002,0080000737
100,0000000370,0001,0080000738
100,0000000370,0002,0080000739
100,0000000371,0001,0080000740
100,0000000371,0002,0080000741
100,0000000372,0001,0080000742
100,0000000372,0002,0080000743
100,0000000373,0001,0080000744
100,0000000373,0002,0080000745
100,0000000374,0001,0080000746
100,0000000374,0002,0080000747
100,0000000375,0001,0080000748
100,0000000375,0002,0080000749
100,0000000376,0001,0080000750
100,0000000376,0002,0080000751
100,0000000377,0001,0080000752
100,0000000377,0002,0080000753
100,0000000378,0001,0080000754
100,0000000378,0002,0080000755
100,0000000379,0001,0080000756
100,0000000379,0002,0080000757
100,0000000380,0001,0080000758
100,0000000380,0002,0080000759
100,0000000381,0001,0080000760
100,0000000381,0002,0080000761
100,0000000382,0001,0080000762
100,0000000382,0002,0080000763
100,0000000383,0001,0080000764
100,0000000383,0002,0080000765
100,0000000384,0001,0080000766
100,0000000384,0002,0080000767
100,0000000385,0001,0080000768
