MANDT,TKNUM,TSNUM,TSRFO,KNESSION
100,0000000001,0001,0001,LOC001
100,0000000001,0002,0002,LOC002
100,0000000002,0001,0001,LOC001
100,0000000002,0002,0002,LOC002
100,0000000003,0001,0001,LOC001
100,0000000003,0002,0002,LOC002
100,0000000004,0001,0001,LOC001
100,0000000004,0002,0002,LOC002
100,0000000005,0001,0001,LOC001
100,0000000005,0002,0002,LOC002
100,0000000006,0001,0001,LOC001
100,0000000006,0002,0002,LOC002
100,0000000007,0001,0001,LOC001
100,0000000007,0002,0002,LOC002
100,0000000008,0001,0001,LOC001
100,0000000008,0002,0002,LOC002
100,0000000009,0001,0001,LOC001
100,0000000009,0002,0002,LOC002
100,0000000010,0001,0001,LOC001
100,0000000010,0002,0002,LOC002
100,0000000011,0001,0001,LOC001
100,0000000011,0002,0002,LOC002
100,0000000012,0001,0001,LOC001
100,0000000012,0002,0002,LOC002
100,0000000013,0001,0001,LOC001
100,0000000013,0002,0002,LOC002
100,0000000014,0001,0001,LOC001
100,0000000014,0002,0002,LOC002
100,0000000015,0001,0001,LOC001
100,0000000015,0002,0002,LOC002
100,0000000016,0001,0001,LOC001
100,0000000016,0002,0002,LOC002
100,0000000017,0001,0001,LOC001
100,0000000017,0002,0002,LOC002
100,0000000018,0001,0001,LOC001
100,0000000018,0002,0002,LOC002
100,0000000019,0001,0001,LOC001
100,0000000019,0002,0002,LOC002
100,0000000020,0001,0001,LOC001
100,0000000020,0002,0002,LOC002
100,0000000021,0001,0001,LOC001
100,0000000021,0002,0002,LOC002
100,0000000022,0001,0001,LOC001
100,0000000022,0002,0002,LOC002
100,0000000023,0001,0001,LOC001
100,0000000023,0002,0002,LOC002
100,0000000024,0001,0001,LOC001
100,0000000024,0002,0002,LOC002
100,0000000025,0001,0001,LOC001
100,0000000025,0002,0002,LOC002
100,0000000026,0001,0001,LOC001
100,0000000026,0002,0002,LOC002
100,0000000027,0001,0001,LOC001
100,0000000027,0002,0002,LOC002
100,0000000028,0001,0001,LOC001
100,0000000028,0002,0002,LOC002
100,0000000029,0001,0001,LOC001
100,0000000029,0002,0002,LOC002
100,0000000030,0001,0001,LOC001
100,0000000030,0002,0002,LOC002
100,0000000031,0001,0001,LOC001
100,0000000031,0002,0002,LOC002
100,0000000032,0001,0001,LOC001
100,0000000032,0002,0002,LOC002
100,0000000033,0001,0001,LOC001
100,0000000033,0002,0002,LOC002
100,0000000034,0001,0001,LOC001
100,0000000034,0002,0002,LOC002
100,0000000035,0001,0001,LOC001
100,0000000035,0002,0002,LOC002
100,0000000036,0001,0001,LOC001
100,0000000036,0002,0002,LOC002
100,0000000037,0001,0001,LOC001
100,0000000037,0002,0002,LOC002
100,0000000038,0001,0001,LOC001
100,0000000038,0002,0002,LOC002
100,0000000039,0001,0001,LOC001
100,0000000039,0002,0002,LOC002
100,0000000040,0001,0001,LOC001
100,0000000040,0002,0002,LOC002
100,0000000041,0001,0001,LOC001
100,0000000041,0002,0002,LOC002
100,0000000042,0001,0001,LOC001
100,0000000042,0002,0002,LOC002
100,0000000043,0001,0001,LOC001
100,0000000043,0002,0002,LOC002
100,0000000044,0001,0001,LOC001
100,0000000044,0002,0002,LOC002
100,0000000045,0001,0001,LOC001
100,0000000045,0002,0002,LOC002
100,0000000046,0001,0001,LOC001
100,0000000046,0002,0002,LOC002
100,0000000047,0001,0001,LOC001
100,0000000047,0002,0002,LOC002
100,0000000048,0001,0001,LOC001
100,0000000048,0002,0002,LOC002
100,0000000049,0001,0001,LOC001
100,0000000049,0002,0002,LOC002
100,0000000050,0001,0001,LOC001
100,0000000050,0002,0002,LOC002
100,0000000051,0001,0001,LOC001
100,0000000051,0002,0002,LOC002
100,0000000052,0001,0001,LOC001
100,0000000052,0002,0002,LOC002
100,0000000053,0001,0001,LOC001
100,0000000053,0002,0002,LOC002
100,0000000054,0001,0001,LOC001
100,0000000054,0002,0002,LOC002
100,0000000055,0001,0001,LOC001
100,0000000055,0002,0002,LOC002
100,0000000056,0001,0001,LOC001
100,0000000056,0002,0002,LOC002
100,0000000057,0001,0001,LOC001
100,0000000057,0002,0002,LOC002
100,0000000058,0001,0001,LOC001
100,0000000058,0002,0002,LOC002
100,0000000059,0001,0001,LOC001
100,0000000059,0002,0002,LOC002
100,0000000060,0001,0001,LOC001
100,0000000060,0002,0002,LOC002
100,0000000061,0001,0001,LOC001
100,0000000061,0002,0002,LOC002
100,0000000062,0001,0001,LOC001
100,0000000062,0002,0002,LOC002
100,0000000063,0001,0001,LOC001
100,0000000063,0002,0002,LOC002
100,0000000064,0001,0001,LOC001
100,0000000064,0002,0002,LOC002
100,0000000065,0001,0001,LOC001
100,0000000065,0002,0002,LOC002
100,0000000066,0001,0001,LOC001
