DOMNAME,AS4LOCAL,AS4VERS,DDLANGUAGE,DATATYPE,LENG,OUTPUTLEN,DECIMALS,SIGNFLAG
MANDT,A,0000,D,CLNT,3,3,0,
AUFNR,A,0000,D,CHAR,12,12,0,
CO_GLTRP,A,0000,D,DATS,8,8,0,
PM_ORDGSTRP,A,0000,D,DATS,8,8,0,
CO_FTRMS,A,0000,D,DATS,8,8,0,
CO_GLTRS,A,0000,D,DATS,8,8,0,
CO_GSTRS,A,0000,D,DATS,8,8,0,
CO_GSTRI,A,0000,D,DATS,8,8,0,
CO_GETRI,A,0000,D,DATS,8,8,0,
CO_GLTRI,A,0000,D,DATS,8,8,0,
CO_FTRMI,A,0000,D,DATS,8,8,0,
CO_FTRMP,A,0000,D,DATS,8,8,0,
RSNUM,A,0000,D,NUMC,10,10,0,
GASMG,A,0000,D,QUAN,13,13,3,
GAMNG,A,0000,D,QUAN,13,13,3,
MEINS,A,0000,D,UNIT,3,3,0,
MATNR,A,0000,D,CHAR,18,18,0,
PLNTY,A,0000,D,CHAR,1,1,0,
PLNNR,A,0000,D,CHAR,8,8,0,
PLNAW,A,0000,D,CHAR,1,1,0,
PLNAL,A,0000,D,CHAR,2,2,0,
PLN_VERWE,A,0000,D,CHAR,3,3,0,
CO_PLAUF,A,0000,D,DATS,8,8,0,
LOSGRBIS,A,0000,D,QUAN,13,13,3,
PLNME,A,0000,D,UNIT,3,3,0,
LOSGRVON,A,0000,D,QUAN,13,13,3,
DATUV,A,0000,D,DATS,8,8,0,
AENNR,A,0000,D,CHAR,12,12,0,
VAGRP,A,0000,D,CHAR,3,3,0,
LOSDIV,A,0000,D,QUAN,13,13,3,
STLTY,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,D,Document Structure,Document Structure,E,
MATNR,A,0000,D,CHAR,18,18,0,
STLST,A,0000,D,NUMC,2,2,0,
STNUM,A,0000,D,CHAR,8,8,0,
DATUV,A,0000,D,DATS,8,8,0,
BASMN,A,0000,D,QUAN,13,13,3,
MEINS,A,0000,D,UNIT,3,3,0,
AENNR,A,0000,D,CHAR,12,12,0,
STALT,A,0000,D,CHAR,2,2,0,
STLAN,A,0000,D,CHAR,1,1,0,
LOSVN,A,0000,D,QUAN,13,13,3,
LOSBS,A,0000,D,QUAN,13,13,3,
CO_AUFLD,A,0000,D,DATS,8,8,0,
CO_DISPO,A,0000,D,CHAR,3,3,0,
CO_AUFPL,A,0000,D,NUMC,10,10,0,
FEVOR,A,0000,D,CHAR,3,3,0,
FHORI,A,0000,D,CHAR,3,3,0,
TERMKZ,A,0000,D,CHAR,1,1,0,
REDKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No reduction carried out,No reduction carried out,1,
CO_APRIO,A,0000,D,CHAR,1,1,0,
NETZ_UEBER,A,0000,D,CHAR,12,12,0,
VORG_UEBER,A,0000,D,CHAR,4,4,0,
PROFIDNZPL,A,0000,D,CHAR,7,7,0,
VORGZ,A,0000,D,NUMC,3,3,0,
SICHZ,A,0000,D,NUMC,3,3,0,
FREIZ,A,0000,D,NUMC,3,3,0,
CO_UPTER,A,0000,D,CHAR,1,1,0,
BEDID,A,0000,D,NUMC,12,12,0,
PS_PSP_PRO,A,0000,D,NUMC,8,8,0,
CIM_COUNT,A,0000,D,NUMC,8,8,0,
CIM_COUNT,A,0000,D,NUMC,8,8,0,
DZKRIZ,A,0000,D,NUMC,7,7,0,
QPLOS,A,0000,D,NUMC,12,12,0,
KALKVARPLN,A,0000,D,CHAR,4,4,0,
KALKVARIST,A,0000,D,CHAR,4,4,0,
CO_RGEKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,1,Backflush components during goods receipt,Backflush components during goods receipt,2,
PS_PLART,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,1,Basic dates,Basic dates,2,
FLG_AOB,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Flag set. Event has occurred.,Flag set. Event has occurred.,NULL,
FLG_ARBEI,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Flag set. Event has occurred.,Flag set. Event has occurred.,NULL,
CO_GLTPP,A,0000,D,DATS,8,8,0,
CO_GSTPP,A,0000,D,DATS,8,8,0,
CO_GLTPS,A,0000,D,DATS,8,8,0,
CO_GSTPS,A,0000,D,DATS,8,8,0,
CO_FTRPS,A,0000,D,DATS,8,8,0,
REDKZP,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No reduction carried out,No reduction carried out,1,
TERMKZP,A,0000,D,CHAR,1,1,0,
CO_RUECK,A,0000,D,NUMC,10,10,0,
CIM_COUNT,A,0000,D,NUMC,8,8,0,
CO_IGMNG,A,0000,D,QUAN,13,13,3,
BEDID,A,0000,D,NUMC,12,12,0,
BEDID,A,0000,D,NUMC,12,12,0,
CUOBJ,A,0000,D,NUMC,18,18,0,
CO_GLUZS,A,0000,D,TIMS,6,6,0,
CO_GSUZS,A,0000,D,TIMS,6,6,0,
REVLV,A,0000,D,CHAR,2,2,0,
CR_OBJTY,A,0000,D,CHAR,2,2,0,
Value,A,0000,D,A,Work center,Work center,AA,
CR_OBJID,A,0000,D,NUMC,8,8,0,
CR_OBJTY,A,0000,D,CHAR,2,2,0,
Value,A,0000,D,A,Work center,Work center,AA,
CR_OBJID,A,0000,D,NUMC,8,8,0,
CO_NAUTERM,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,,,NULL,
CO_NAUCOST,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,,,NULL,
HISTU,A,0000,D,DEC,2,2,0,
WEGXX,A,0000,D,DEC,4,4,0,
WEGXX,A,0000,D,DEC,4,4,0,
RSNUM,A,0000,D,NUMC,10,10,0,
CO_POSNR,A,0000,D,NUMC,4,4,0,
MAUFNR,A,0000,D,CHAR,12,12,0,
CO_LKNOT,A,0000,D,CHAR,12,12,0,
CO_RKNOT,A,0000,D,CHAR,12,12,0,
CO_PRODNET,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,,,NULL,
CO_IASMG,A,0000,D,QUAN,13,13,3,
CO_ABARB,A,0000,D,NUMC,3,3,0,
CO_TEILNET,A,0000,D,CHAR,12,12,0,
CO_AUFPL,A,0000,D,NUMC,10,10,0,
CO_APLZL,A,0000,D,NUMC,8,8,0,
NO_DISP_PLUS,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,1,Not relevant to materials planning,Not relevant to materials planning,X,
CSPLIT,A,0000,D,CHAR,4,4,0,
AENNR,A,0000,D,CHAR,12,12,0,
CY_SEQNR,A,0000,D,NUMC,14,14,0,
BREAKS,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
VORGZ_TRM,A,0000,D,DEC,6,6,3,
SICHZ_TRM,A,0000,D,DEC,6,6,3,
TRMDT,A,0000,D,DATS,8,8,0,
CO_GLUZP,A,0000,D,TIMS,6,6,0,
CO_GSUZP,A,0000,D,TIMS,6,6,0,
CO_GSUZI,A,0000,D,TIMS,6,6,0,
CO_GEUZI,A,0000,D,TIMS,6,6,0,
CO_GLUPP,A,0000,D,TIMS,6,6,0,
CO_GSUPP,A,0000,D,TIMS,6,6,0,
CO_GLUPS,A,0000,D,TIMS,6,6,0,
CO_GSUPS,A,0000,D,TIMS,6,6,0,
KALSMA_CH,A,0000,D,CHAR,6,6,0,
KAPT_VORGZ,A,0000,D,NUMC,3,3,0,
KAPT_SICHZ,A,0000,D,NUMC,3,3,0,
CO_LAUFNR,A,0000,D,CHAR,12,12,0,
CO_PSTARTD,A,0000,D,DATS,8,8,0,
CO_PSTARTT,A,0000,D,TIMS,6,6,0,
CO_PENDD,A,0000,D,DATS,8,8,0,
CO_PENDT,A,0000,D,TIMS,6,6,0,
KBED_D,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
COMP_CALC,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
CO_PRODPRF,A,0000,D,CHAR,6,6,0,
RMNGA,A,0000,D,QUAN,13,13,3,
CO_GSBTR,A,0000,D,DATS,8,8,0,
CO_VFMNG,A,0000,D,QUAN,13,13,3,
CO_NOPCOST,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
NETZKONT,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Account assignment determined by status,Account assignment determined by status,1,
