TABNAME,AS4LOCAL,AS4VERS,TABCLASS,SQLTAB,AUTHCLASS,MASTERLANG,CONTFLAG,MATEFLAG,BUFFERED,EXCLASS
AFKO,A,0000,TRANSP,AFKO,00,D,A,,,
AFPO,A,0000,TRANSP,AFPO,00,D,A,,,
AFVC,A,0000,TRANSP,AFVC,00,D,A,,,
AFVV,A,0000,TRANSP,AFVV,00,D,A,,,
AGR_TEXTS,A,0000,TRANSP,AGR_TEXTS,00,D,A,,,
AGR_USERS,A,0000,TRANSP,AGR_USERS,00,D,A,,,
ANEP,A,0000,TRANSP,ANEP,00,D,A,,,
ANLA,A,0000,TRANSP,ANLA,00,D,A,,,
AUFK,A,0000,TRANSP,AUFK,00,D,A,,,
BALDAT,A,0000,TRANSP,BALDAT,00,D,A,,,
BALHDR,A,0000,TRANSP,BALHDR,00,D,A,,,
BDCP2,A,0000,TRANSP,BDCP2,00,D,A,,,
BKPF,A,0000,TRANSP,BKPF,00,D,A,,,
BSAD,A,0000,TRANSP,BSAD,00,D,A,,,
BSAK,A,0000,TRANSP,BSAK,00,D,A,,,
BSAS,A,0000,TRANSP,BSAS,00,D,A,,,
BSEG,A,0000,TRANSP,BSEG,00,D,A,,,
BSID,A,0000,TRANSP,BSID,00,D,A,,,
BSIK,A,0000,TRANSP,BSIK,00,D,A,,,
CDHDR,A,0000,TRANSP,CDHDR,00,D,A,,,
CDPOS,A,0000,TRANSP,CDPOS,00,D,A,,,
COBK,A,0000,TRANSP,COBK,00,D,A,,,
COEP,A,0000,TRANSP,COEP,00,D,A,,,
COSP,A,0000,TRANSP,COSP,00,D,A,,,
COSS,A,0000,TRANSP,COSS,00,D,A,,,
CRHD,A,0000,TRANSP,CRHD,00,D,A,,,
CRTX,A,0000,TRANSP,CRTX,00,D,A,,,
CSKA,A,0000,TRANSP,CSKA,00,D,A,,,
CSKB,A,0000,TRANSP,CSKB,00,D,A,,,
CSKS,A,0000,TRANSP,CSKS,00,D,A,,,
CSKT,A,0000,TRANSP,CSKT,00,D,A,,,
CSKU,A,0000,TRANSP,CSKU,00,D,A,,,
DD02L,A,0000,TRANSP,DD02L,00,D,A,,,
DD03L,A,0000,TRANSP,DD03L,00,D,A,,,
EBAN,A,0000,TRANSP,EBAN,00,D,A,,,
EDID4,A,0000,TRANSP,EDID4,00,D,A,,,
EDIDC,A,0000,TRANSP,EDIDC,00,D,A,,,
EINA,A,0000,TRANSP,EINA,00,D,A,,,
EINE,A,0000,TRANSP,EINE,00,D,A,,,
EKBE,A,0000,TRANSP,EKBE,00,D,A,,,
EKET,A,0000,TRANSP,EKET,00,D,A,,,
EKKO,A,0000,TRANSP,EKKO,00,D,A,,,
EKPO,A,0000,TRANSP,EKPO,00,D,A,,,
FAGLFLEXA,A,0000,TRANSP,FAGLFLEXA,00,D,A,,,
HRP1000,A,0000,TRANSP,HRP1000,00,D,A,,,
HRP1001,A,0000,TRANSP,HRP1001,00,D,A,,,
HRP1002,A,0000,TRANSP,HRP1002,00,D,A,,,
JEST,A,0000,TRANSP,JEST,00,D,A,,,
KEKO,A,0000,TRANSP,KEKO,00,D,A,,,
KEPH,A,0000,TRANSP,KEPH,00,D,A,,,
KNA1,A,0000,TRANSP,KNA1,00,D,A,,,
KNVV,A,0000,TRANSP,KNVV,00,D,A,,,
KONV,A,0000,TRANSP,KONV,00,D,A,,,
LAGP,A,0000,TRANSP,LAGP,00,D,A,,,
LEIN,A,0000,TRANSP,LEIN,00,D,A,,,
LFA1,A,0000,TRANSP,LFA1,00,D,A,,,
LFB1,A,0000,TRANSP,LFB1,00,D,A,,,
LFM1,A,0000,TRANSP,LFM1,00,D,A,,,
LIKP,A,0000,TRANSP,LIKP,00,D,A,,,
LIPS,A,0000,TRANSP,LIPS,00,D,A,,,
LQUA,A,0000,TRANSP,LQUA,00,D,A,,,
LTAK,A,0000,TRANSP,LTAK,00,D,A,,,
