TABNAME,AS4LOCAL,AS4VERS,DDLANGUAGE,DDTEXT
AFKO,A,0000,D,AFKO - Order Header Data PP Orders Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Ba
AFPO,A,0000,D,AFPO - Order item Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search Sear
AFVC,A,0000,D,AFVC - Operation within an order Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back
AFVV,A,0000,D,AFVV - DB structure of the quantities/dates/values in the operation Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on Linked
AGR_TEXTS,A,0000,D,AGR_TEXTS - File Structure for Hierarchical Menu - Customer Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for y
AGR_USERS,A,0000,D,AGR_USERS - Assignment of roles to users Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP projec
ANEP,A,0000,D,ANEP - Asset Line Items Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Searc
ANLA,A,0000,D,ANLA - Asset Master Record Segment Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Ba
AUFK,A,0000,D,AUFK - Order master data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Sear
BALDAT,A,0000,D,BALDAT - Application Log: Log data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Ba
BALHDR,A,0000,D,BALHDR - Application log: log header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← 
BDCP2,A,0000,D,"BDCP2 - Aggregated Change Pointers (BDCP, BDCPS) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SA"
BKPF,A,0000,D,BKPF - Accounting Document Header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Bac
BSAD,A,0000,D,BSAD - Accounting: Secondary Index for Customers (Cleared Items) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn 
BSAK,A,0000,D,BSAK - Accounting: Secondary Index for Vendors (Cleared Items) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn fo
BSAS,A,0000,D,BSAS - Accounting: Secondary Index for G/L Accounts (Cleared Items) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on Linked
BSEG,A,0000,D,BSEG - Accounting Document Segment Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Ba
BSID,A,0000,D,BSID - Accounting: Secondary Index for Customers Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SA
BSIK,A,0000,D,BSIK - Accounting: Secondary Index for Vendors Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP 
CDHDR,A,0000,D,CDHDR - Change document header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back t
CDPOS,A,0000,D,CDPOS - Change document items Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to
COBK,A,0000,D,COBK - CO Object: Document Header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Bac
COEP,A,0000,D,COEP - CO Object: Line Items (by Period) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP projec
COSP,A,0000,D,COSP - CO Object: Cost Totals for External Postings Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next
COSS,A,0000,D,COSS - CO Object: Cost Totals for Internal Postings Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next
CRHD,A,0000,D,CRHD - Work Center Header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Sea
CRTX,A,0000,D,CRTX - Text for the Work Center or Production Resource/Tool Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for y
CSKA,A,0000,D,CSKA - Cost Elements (Data Dependent on Chart of Accounts) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for yo
CSKB,A,0000,D,CSKB - Cost Elements (Data Dependent on Controlling Area) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for you
CSKS,A,0000,D,CSKS - Cost Center Master Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back t
CSKT,A,0000,D,CSKT - Cost Center Texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Sear
CSKU,A,0000,D,CSKU - Cost Element Texts Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Sea
DD02L,A,0000,D,DD02L - SAP Tables Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search Sea
DD03L,A,0000,D,DD03L - Table Fields Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to Search S
EBAN,A,0000,D,EBAN - Purchase Requisition Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to S
EDID4,A,0000,D,EDID4 - IDoc Data Records from 4.0 onwards Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP proj
EDIDC,A,0000,D,EDIDC - Control record (IDoc) Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Back to
EINA,A,0000,D,EINA - Purchasing Info Record: General Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP pro
EINE,A,0000,D,EINE - Purchasing Info Record: Purchasing Organization Data Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for y
EKBE,A,0000,D,EKBE - History per Purchasing Document Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project 
EKET,A,0000,D,EKET - Scheduling Agreement Schedule Lines Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP proj
EKKO,A,0000,D,EKKO - Purchasing Document Header Skip to content Home Services Ventures Resources Expand Search ECC Tables Search HANA Tables Contact Toggle Menu Follow us on LinkedIn for your next SAP project ← Bac
