TABNAME,FIELDNAME,AS4LOCAL,AS4VERS,POSITION,KEYFLAG,DATATYPE,LENG,DECIMALS,DOMNAME,ROLLNAME
AFKO,MANDT,A,0000,1,X,CLNT,3,0,MANDT,MANDT
AFKO,AUFNR,A,0000,2,,CHAR,12,0,AUFNR,AUFNR
AFKO,GLTRP,A,0000,3,,DATS,8,0,CO_GLTRP,CO_GLTRP
AFKO,GSTRP,A,0000,4,,DATS,8,0,PM_ORDGSTRP,PM_ORDGSTRP
AFKO,FTRMS,A,0000,5,,DATS,8,0,CO_FTRMS,CO_FTRMS
AFKO,GLTRS,A,0000,6,,DATS,8,0,CO_GLTRS,CO_GLTRS
AFKO,GSTRS,A,0000,7,,DATS,8,0,CO_GSTRS,CO_GSTRS
AFKO,GSTRI,A,0000,8,,DATS,8,0,CO_GSTRI,CO_GSTRI
AFKO,GETRI,A,0000,9,,DATS,8,0,CO_GETRI,CO_GETRI
AFKO,GLTRI,A,0000,10,,DATS,8,0,CO_GLTRI,CO_GLTRI
AFKO,FTRMI,A,0000,11,,DATS,8,0,CO_FTRMI,CO_FTRMI
AFKO,FTRMP,A,0000,12,,DATS,8,0,CO_FTRMP,CO_FTRMP
AFKO,RSNUM,A,0000,13,,NUMC,10,0,RSNUM,RSNUM
AFKO,GASMG,A,0000,14,,QUAN,13,3,GASMG,GASMG
AFKO,GAMNG,A,0000,15,,QUAN,13,3,GAMNG,GAMNG
AFKO,GMEIN,A,0000,16,,UNIT,3,0,MEINS,MEINS
AFKO,PLNBEZ,A,0000,17,,CHAR,18,0,MATNR,MATNR
AFKO,PLNTY,A,0000,18,,CHAR,1,0,PLNTY,PLNTY
AFKO,PLNNR,A,0000,19,,CHAR,8,0,PLNNR,PLNNR
AFKO,PLNAW,A,0000,20,,CHAR,1,0,PLNAW,PLNAW
AFKO,PLNAL,A,0000,21,,CHAR,2,0,PLNAL,PLNAL
AFKO,PVERW,A,0000,22,,CHAR,3,0,PLN_VERWE,PLN_VERWE
AFKO,PLAUF,A,0000,23,,DATS,8,0,CO_PLAUF,CO_PLAUF
AFKO,PLSVB,A,0000,24,,QUAN,13,3,LOSGRBIS,LOSGRBIS
AFKO,PLNME,A,0000,25,,UNIT,3,0,PLNME,PLNME
AFKO,PLSVN,A,0000,26,,QUAN,13,3,LOSGRVON,LOSGRVON
AFKO,PDATV,A,0000,27,,DATS,8,0,DATUV,DATUV
AFKO,PAENR,A,0000,28,,CHAR,12,0,AENNR,AENNR
AFKO,PLGRP,A,0000,29,,CHAR,3,0,VAGRP,VAGRP
AFKO,LODIV,A,0000,30,,QUAN,13,3,LOSDIV,LOSDIV
AFKO,STLTY,A,0000,31,,CHAR,1,0,STLTY,STLTY
AFKO,Value,A,0000,32,,D,Document Structure,E,Value,Value
AFKO,STLBEZ,A,0000,33,,CHAR,18,0,MATNR,MATNR
AFKO,STLST,A,0000,34,,NUMC,2,0,STLST,STLST
AFKO,STLNR,A,0000,35,,CHAR,8,0,STNUM,STNUM
AFKO,SDATV,A,0000,36,,DATS,8,0,DATUV,DATUV
AFKO,SBMNG,A,0000,37,,QUAN,13,3,BASMN,BASMN
AFKO,SBMEH,A,0000,38,,UNIT,3,0,MEINS,MEINS
AFKO,SAENR,A,0000,39,,CHAR,12,0,AENNR,AENNR
AFKO,STLAL,A,0000,40,,CHAR,2,0,STALT,STALT
