ROLLNAME,AS4LOCAL,AS4VERS,DDLANGUAGE,DDTEXT
MANDT,A,0000,D,MANDT
AUFNR,A,0000,D,AUFNR
CO_GLTRP,A,0000,D,GLTRP
PM_ORDGSTRP,A,0000,D,GSTRP
CO_FTRMS,A,0000,D,FTRMS
CO_GLTRS,A,0000,D,GLTRS
CO_GSTRS,A,0000,D,GSTRS
CO_GSTRI,A,0000,D,GSTRI
CO_GETRI,A,0000,D,GETRI
CO_GLTRI,A,0000,D,GLTRI
CO_FTRMI,A,0000,D,FTRMI
CO_FTRMP,A,0000,D,FTRMP
RSNUM,A,0000,D,RSNUM
GASMG,A,0000,D,GASMG
GAMNG,A,0000,D,GAMNG
MEINS,A,0000,D,GMEIN
MATNR,A,0000,D,PLNBEZ
PLNTY,A,0000,D,PLNTY
PLNNR,A,0000,D,PLNNR
PLNAW,A,0000,D,PLNAW
PLNAL,A,0000,D,PLNAL
PLN_VERWE,A,0000,D,PVERW
CO_PLAUF,A,0000,D,PLAUF
LOSGRBIS,A,0000,D,PLSVB
PLNME,A,0000,D,PLNME
LOSGRVON,A,0000,D,PLSVN
DATUV,A,0000,D,PDATV
AENNR,A,0000,D,PAENR
VAGRP,A,0000,D,PLGRP
LOSDIV,A,0000,D,LODIV
STLTY,A,0000,D,STLTY
Value,A,0000,D,Value
MATNR,A,0000,D,STLBEZ
STLST,A,0000,D,STLST
STNUM,A,0000,D,STLNR
DATUV,A,0000,D,SDATV
BASMN,A,0000,D,SBMNG
MEINS,A,0000,D,SBMEH
AENNR,A,0000,D,SAENR
STALT,A,0000,D,STLAL
STLAN,A,0000,D,STLAN
LOSVN,A,0000,D,SLSVN
LOSBS,A,0000,D,SLSBS
CO_AUFLD,A,0000,D,AUFLD
CO_DISPO,A,0000,D,DISPO
CO_AUFPL,A,0000,D,AUFPL
FEVOR,A,0000,D,FEVOR
FHORI,A,0000,D,FHORI
TERMKZ,A,0000,D,TERKZ
REDKZ,A,0000,D,REDKZ
Value,A,0000,D,Value
CO_APRIO,A,0000,D,APRIO
NETZ_UEBER,A,0000,D,NTZUE
VORG_UEBER,A,0000,D,VORUE
PROFIDNZPL,A,0000,D,PROFID
VORGZ,A,0000,D,VORGZ
SICHZ,A,0000,D,SICHZ
FREIZ,A,0000,D,FREIZ
CO_UPTER,A,0000,D,UPTER
BEDID,A,0000,D,BEDID
PS_PSP_PRO,A,0000,D,PRONR
CIM_COUNT,A,0000,D,ZAEHL
CIM_COUNT,A,0000,D,MZAEHL
