TABNAME,FIELDNAME,AS4LOCAL,AS4VERS,FORTABLE,FORKEY,CHECKTABLE,CHECKFIELD
AFKO,MANDT,A,0000,,,T000,MANDT
AFKO,AUFNR,A,0000,,,AUFK,AUFNR
AFKO,GLTRP,A,0000,,,,GLTRP
AFKO,GSTRP,A,0000,,,,GSTRP
AFKO,FTRMS,A,0000,,,,FTRMS
AFKO,GLTRS,A,0000,,,,GLTRS
AFKO,GSTRS,A,0000,,,,GSTRS
AFKO,GSTRI,A,0000,,,,GSTRI
AFKO,GETRI,A,0000,,,,GETRI
AFKO,GLTRI,A,0000,,,,GLTRI
AFKO,FTRMI,A,0000,,,,FTRMI
AFKO,FTRMP,A,0000,,,,FTRMP
AFKO,RSNUM,A,0000,,,,RSNUM
AFKO,GASMG,A,0000,,,,GASMG
AFKO,GAMNG,A,0000,,,,GAMNG
AFKO,GMEIN,A,0000,,,T006,GMEIN
AFKO,PLNBEZ,A,0000,,,MARA,PLNBEZ
AFKO,PLNTY,A,0000,,,,PLNTY
AFKO,PLNNR,A,0000,,,,PLNNR
AFKO,PLNAW,A,0000,,,TCA09,PLNAW
AFKO,PLNAL,A,0000,,,,PLNAL
AFKO,PVERW,A,0000,,,T411,PVERW
AFKO,PLAUF,A,0000,,,,PLAUF
AFKO,PLSVB,A,0000,,,,PLSVB
AFKO,PLNME,A,0000,,,T006,PLNME
AFKO,PLSVN,A,0000,,,,PLSVN
AFKO,PDATV,A,0000,,,,PDATV
AFKO,PAENR,A,0000,,,AENR,PAENR
AFKO,PLGRP,A,0000,,,T024A,PLGRP
AFKO,LODIV,A,0000,,,,LODIV
AFKO,STLTY,A,0000,,,,STLTY
AFKO,Value,A,0000,,,Description,Value
AFKO,STLBEZ,A,0000,,,MARA,STLBEZ
AFKO,STLST,A,0000,,,T415S,STLST
AFKO,STLNR,A,0000,,,,STLNR
AFKO,SDATV,A,0000,,,,SDATV
AFKO,SBMNG,A,0000,,,,SBMNG
AFKO,SBMEH,A,0000,,,T006,SBMEH
AFKO,SAENR,A,0000,,,AENR,SAENR
AFKO,STLAL,A,0000,,,,STLAL
AFKO,STLAN,A,0000,,,T416,STLAN
AFKO,SLSVN,A,0000,,,,SLSVN
AFKO,SLSBS,A,0000,,,,SLSBS
AFKO,AUFLD,A,0000,,,,AUFLD
AFKO,DISPO,A,0000,,,T024D,DISPO
