DOMNAME,AS4LOCAL,AS4VERS,VALPOS,DDLANGUAGE,VALUE,DDTEXT
MANDT,A,0000,1,D,,
AUFNR,A,0000,2,D,,
CO_GLTRP,A,0000,3,D,,
PM_ORDGSTRP,A,0000,4,D,,
CO_FTRMS,A,0000,5,D,,
CO_GLTRS,A,0000,6,D,,
CO_GSTRS,A,0000,7,D,,
CO_GSTRI,A,0000,8,D,,
CO_GETRI,A,0000,9,D,,
CO_GLTRI,A,0000,10,D,,
CO_FTRMI,A,0000,11,D,,
CO_FTRMP,A,0000,12,D,,
RSNUM,A,0000,13,D,,
GASMG,A,0000,14,D,,
GAMNG,A,0000,15,D,,
MEINS,A,0000,16,D,,
MATNR,A,0000,17,D,,
PLNTY,A,0000,18,D,,
PLNNR,A,0000,19,D,,
PLNAW,A,0000,20,D,,
PLNAL,A,0000,21,D,,
PLN_VERWE,A,0000,22,D,,
CO_PLAUF,A,0000,23,D,,
LOSGRBIS,A,0000,24,D,,
PLNME,A,0000,25,D,,
LOSGRVON,A,0000,26,D,,
DATUV,A,0000,27,D,,
AENNR,A,0000,28,D,,
VAGRP,A,0000,29,D,,
LOSDIV,A,0000,30,D,,
STLTY,A,0000,31,D,,
Value,A,0000,32,D,,
MATNR,A,0000,33,D,,
STLST,A,0000,34,D,,
STNUM,A,0000,35,D,,
DATUV,A,0000,36,D,,
BASMN,A,0000,37,D,,
MEINS,A,0000,38,D,,
AENNR,A,0000,39,D,,
STALT,A,0000,40,D,,
STLAN,A,0000,41,D,,
LOSVN,A,0000,42,D,,
LOSBS,A,0000,43,D,,
CO_AUFLD,A,0000,44,D,,
CO_DISPO,A,0000,45,D,,
CO_AUFPL,A,0000,46,D,,
FEVOR,A,0000,47,D,,
FHORI,A,0000,48,D,,
TERMKZ,A,0000,49,D,,
REDKZ,A,0000,50,D,,
Value,A,0000,51,D,,
CO_APRIO,A,0000,52,D,,
NETZ_UEBER,A,0000,53,D,,
VORG_UEBER,A,0000,54,D,,
PROFIDNZPL,A,0000,55,D,,
VORGZ,A,0000,56,D,,
SICHZ,A,0000,57,D,,
FREIZ,A,0000,58,D,,
CO_UPTER,A,0000,59,D,,
BEDID,A,0000,60,D,,
PS_PSP_PRO,A,0000,61,D,,
CIM_COUNT,A,0000,62,D,,
CIM_COUNT,A,0000,63,D,,
DZKRIZ,A,0000,64,D,,
QPLOS,A,0000,65,D,,
KALKVARPLN,A,0000,66,D,,
KALKVARIST,A,0000,67,D,,
CO_RGEKZ,A,0000,68,D,,
Value,A,0000,69,D,,
PS_PLART,A,0000,70,D,,
Value,A,0000,71,D,,
FLG_AOB,A,0000,72,D,,
Value,A,0000,73,D,,
FLG_ARBEI,A,0000,74,D,,
Value,A,0000,75,D,,
CO_GLTPP,A,0000,76,D,,
CO_GSTPP,A,0000,77,D,,
CO_GLTPS,A,0000,78,D,,
CO_GSTPS,A,0000,79,D,,
CO_FTRPS,A,0000,80,D,,
REDKZP,A,0000,81,D,,
Value,A,0000,82,D,,
TERMKZP,A,0000,83,D,,
CO_RUECK,A,0000,84,D,,
CIM_COUNT,A,0000,85,D,,
CO_IGMNG,A,0000,86,D,,
BEDID,A,0000,87,D,,
BEDID,A,0000,88,D,,
CUOBJ,A,0000,89,D,,
CO_GLUZS,A,0000,90,D,,
CO_GSUZS,A,0000,91,D,,
REVLV,A,0000,92,D,,
CR_OBJTY,A,0000,93,D,,
Value,A,0000,94,D,,
CR_OBJID,A,0000,95,D,,
CR_OBJTY,A,0000,96,D,,
Value,A,0000,97,D,,
CR_OBJID,A,0000,98,D,,
CO_NAUTERM,A,0000,99,D,,
Value,A,0000,100,D,,
CO_NAUCOST,A,0000,101,D,,
Value,A,0000,102,D,,
HISTU,A,0000,103,D,,
WEGXX,A,0000,104,D,,
WEGXX,A,0000,105,D,,
RSNUM,A,0000,106,D,,
CO_POSNR,A,0000,107,D,,
MAUFNR,A,0000,108,D,,
CO_LKNOT,A,0000,109,D,,
CO_RKNOT,A,0000,110,D,,
CO_PRODNET,A,0000,111,D,,
